¬	mgbagha
👩🏽‍🤝‍👨🏿	aka, di na nwunye, jide, nwanyị, nwoke, nwoke na nwaanyị jikọtara aka, nwoke na nwaanyị jikọtara aka: ọtanjele ahụ ndịna etiti na ọtanjele ahụ maka òji, ọtanjele ahụ maka òji, ọtanjele ahụ ndịna etiti
👩🏾‍🤝‍👨🏻	aka, di na nwunye, jide, nwanyị, nwoke, nwoke na nwaanyị jikọtara aka, nwoke na nwaanyị jikọtara aka: ọtanjele ahụ maka òji-ndịna etiti na ọtanjele ahụ maka ọcha, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka ọcha
👩🏾‍🤝‍👨🏼	aka, di na nwunye, jide, nwanyị, nwoke, nwoke na nwaanyị jikọtara aka, nwoke na nwaanyị jikọtara aka: ọtanjele ahụ maka òji-ndịna etiti na ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
👩🏾‍🤝‍👨🏽	aka, di na nwunye, jide, nwanyị, nwoke, nwoke na nwaanyị jikọtara aka, nwoke na nwaanyị jikọtara aka: ọtanjele ahụ maka òji-ndịna etiti na ọtanjele ahụ ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ ndịna etiti
👫🏾	aka, di na nwunye, jide, nwanyị, nwoke, nwoke na nwaanyị jikọtara aka, nwoke na nwaanyị jikọtara aka: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
👩🏾‍🤝‍👨🏿	aka, di na nwunye, jide, nwanyị, nwoke, nwoke na nwaanyị jikọtara aka, nwoke na nwaanyị jikọtara aka: ọtanjele ahụ maka òji-ndịna etiti na ọtanjele ahụ maka òji, ọtanjele ahụ maka òji, ọtanjele ahụ maka òji-ndịna etiti
👩🏿‍🤝‍👨🏻	aka, di na nwunye, jide, nwanyị, nwoke, nwoke na nwaanyị jikọtara aka, nwoke na nwaanyị jikọtara aka: ọtanjele ahụ maka òji na ọtanjele ahụ maka ọcha, ọtanjele ahụ maka òji, ọtanjele ahụ maka ọcha
👩🏿‍🤝‍👨🏼	aka, di na nwunye, jide, nwanyị, nwoke, nwoke na nwaanyị jikọtara aka, nwoke na nwaanyị jikọtara aka: ọtanjele ahụ maka òji na ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka òji, ọtanjele ahụ maka ọcha-ndịna etiti
👩🏿‍🤝‍👨🏽	aka, di na nwunye, jide, nwanyị, nwoke, nwoke na nwaanyị jikọtara aka, nwoke na nwaanyị jikọtara aka: ọtanjele ahụ maka òji na ọtanjele ahụ ndịna etiti, ọtanjele ahụ maka òji, ọtanjele ahụ ndịna etiti
👩🏿‍🤝‍👨🏾	aka, di na nwunye, jide, nwanyị, nwoke, nwoke na nwaanyị jikọtara aka, nwoke na nwaanyị jikọtara aka: ọtanjele ahụ maka òji na ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji, ọtanjele ahụ maka òji-ndịna etiti
👫🏿	aka, di na nwunye, jide, nwanyị, nwoke, nwoke na nwaanyị jikọtara aka, nwoke na nwaanyị jikọtara aka: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
👬	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ụmụ nwoke abụọ jikọtara aka
👬🏻	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka ọcha, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka ọcha
👨🏻‍🤝‍👨🏼	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha-ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka ọcha na ọtanjele ahụ maka ọcha-ndịna etiti
👨🏻‍🤝‍👨🏽	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka ọcha, ọtanjele ahụ ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka ọcha na ọtanjele ahụ ndịna etiti
👨🏻‍🤝‍👨🏾	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka ọcha, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka ọcha na ọtanjele ahụ maka òji-ndịna etiti
👨🏻‍🤝‍👨🏿	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji, ọtanjele ahụ maka ọcha, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka ọcha na ọtanjele ahụ maka òji
👨🏼‍🤝‍👨🏻	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha-ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka ọcha-ndịna etiti na ọtanjele ahụ maka ọcha
👬🏼	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka ọcha-ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka ọcha-ndịna etiti
👨🏼‍🤝‍👨🏽	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka ọcha-ndịna etiti na ọtanjele ahụ ndịna etiti
👨🏼‍🤝‍👨🏾	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka ọcha-ndịna etiti na ọtanjele ahụ maka òji-ndịna etiti
👨🏼‍🤝‍👨🏿	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji, ọtanjele ahụ maka ọcha-ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka ọcha-ndịna etiti na ọtanjele ahụ maka òji
👨🏽‍🤝‍👨🏻	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka ọcha, ọtanjele ahụ ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ ndịna etiti na ọtanjele ahụ maka ọcha
👨🏽‍🤝‍👨🏼	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ ndịna etiti na ọtanjele ahụ maka ọcha-ndịna etiti
👬🏽	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ ndịna etiti
👨🏽‍🤝‍👨🏾	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ ndịna etiti na ọtanjele ahụ maka òji-ndịna etiti
👨🏽‍🤝‍👨🏿	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji, ọtanjele ahụ ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ ndịna etiti na ọtanjele ahụ maka òji
👨🏾‍🤝‍👨🏻	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka ọcha, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka òji-ndịna etiti na ọtanjele ahụ maka ọcha
👨🏾‍🤝‍👨🏼	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka òji-ndịna etiti na ọtanjele ahụ maka ọcha-ndịna etiti
👨🏾‍🤝‍👨🏽	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka òji-ndịna etiti na ọtanjele ahụ ndịna etiti
👬🏾	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji-ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka òji-ndịna etiti
👨🏾‍🤝‍👨🏿	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji, ọtanjele ahụ maka òji-ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka òji-ndịna etiti na ọtanjele ahụ maka òji
👨🏿‍🤝‍👨🏻	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji, ọtanjele ahụ maka ọcha, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka òji na ọtanjele ahụ maka ọcha
👨🏿‍🤝‍👨🏼	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji, ọtanjele ahụ maka ọcha-ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka òji na ọtanjele ahụ maka ọcha-ndịna etiti
👨🏿‍🤝‍👨🏽	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji, ọtanjele ahụ ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka òji na ọtanjele ahụ ndịna etiti
👨🏿‍🤝‍👨🏾	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji, ọtanjele ahụ maka òji-ndịna etiti, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka òji na ọtanjele ahụ maka òji-ndịna etiti
👬🏿	Gemini, aka, di na nwunye, ejima, jide, nwoke, zodịak, ọtanjele ahụ maka òji, ụmụ nwoke abụọ jikọtara aka, ụmụ nwoke abụọ jikọtara aka: ọtanjele ahụ maka òji
💏	di na nwunye, nsusò ọnụ
💏🏻	di na nwunye, nsusò ọnụ, nsusò ọnụ: ọtanjele ahụ maka ọcha, ọtanjele ahụ maka ọcha
💏🏼	di na nwunye, nsusò ọnụ, nsusò ọnụ: ọtanjele ahụ maka ọcha-ndịna etiti, ọtanjele ahụ maka ọcha-ndịna etiti
💏🏽	di na nwunye, nsusò ọnụ, nsusò ọnụ: ọtanjele ahụ ndịna etiti, ọtanjele ahụ ndịna etiti
💏🏾	di na nwunye, nsusò ọnụ, nsusò ọnụ: ọtanjele ahụ maka òji-ndịna etiti, ọtanjele ahụ maka òji-ndịna etiti
💏🏿	di na nwunye, nsusò ọnụ, nsusò ọnụ: ọtanjele ahụ maka òji, ọtanjele ahụ maka òji
👩‍❤‍💋‍👨	di na nwunye, nsusò ọnụ, nsusò ọnụ: nwanyị na nwoke, nwanyị, nwoke
👨‍❤‍💋‍👨	di na nwunye, nsusò ọnụ, nsusò ọnụ: nwoke na nwoke, nwoke
👩‍❤‍💋‍👩	di na nwunye, nsusò ọnụ, nsusò ọnụ: nwanyị na nwanyị, nwanyị
💑	di na nwunye, di na nwunye nwere obi, ịhụnanya
💑🏻	di na nwunye, di na nwunye nwere obi, di na nwunye nwere obi: ọtanjele ahụ maka ọcha, ịhụnanya, ọtanjele ahụ maka ọcha
💑🏼	di na nwunye, di na nwunye nwere obi, di na nwunye nwere obi: ọtanjele ahụ maka ọcha-ndịna etiti, ịhụnanya, ọtanjele ahụ maka ọcha-ndịna etiti
💑🏽	di na nwunye, di na nwunye nwere obi, di na nwunye nwere obi: ọtanjele ahụ ndịna etiti, ịhụnanya, ọtanjele ahụ ndịna etiti
💑🏾	di na nwunye, di na nwunye nwere obi, di na nwunye nwere obi: ọtanjele ahụ maka òji-ndịna etiti, ịhụnanya, ọtanjele ahụ maka òji-ndịna etiti
💑🏿	di na nwunye, di na nwunye nwere obi, di na nwunye nwere obi: ọtanjele ahụ maka òji, ịhụnanya, ọtanjele ahụ maka òji
👩‍❤‍👨	di na nwunye, di na nwunye nwere obi, di na nwunye nwere obi: nwanyị na nwoke, nwanyị, nwoke, ịhụnanya
👨‍❤‍👨	di na nwunye, di na nwunye nwere obi, di na nwunye nwere obi: nwoke na nwoke, nwoke, ịhụnanya
👩‍❤‍👩	di na nwunye, di na nwunye nwere obi, di na nwunye nwere obi: nwanyị na nwanyị, nwanyị, ịhụnanya
👪️	ezinaụlọ
👨‍👩‍👦	ezinaụlọ, ezinaụlọ: nwoke, nwanyị, na nwa nwoke, nwa nwoke, nwanyị, nwoke
👨‍👩‍👧	ezinaụlọ, ezinaụlọ: nwoke, nwanyị, na nwata nwaanyị, nwanyị, nwata nwaanyị, nwoke
👨‍👩‍👧‍👦	ezinaụlọ, ezinaụlọ: nwoke, nwanyị, nwata nwaanyị, na nwa nwoke, nwa nwoke, nwanyị, nwata nwaanyị, nwoke
👨‍👩‍👦‍👦	ezinaụlọ, ezinaụlọ: nwoke, nwanyị, nwa nwoke, na nwa nwoke, nwa nwoke, nwanyị, nwoke
👨‍👩‍👧‍👧	ezinaụlọ, ezinaụlọ: nwoke, nwanyị, nwata nwaanyị, na nwata nwaanyị, nwanyị, nwata nwaanyị, nwoke
👨‍👨‍👦	ezinaụlọ, ezinaụlọ: nwoke, nwoke, na nwa nwoke, nwa nwoke, nwoke
👨‍👨‍👧	ezinaụlọ, ezinaụlọ: nwoke, nwoke, na nwata nwaanyị, nwata nwaanyị, nwoke
👨‍👨‍👧‍👦	ezinaụlọ, ezinaụlọ: nwoke, nwoke, nwata nwaanyị, na nwa nwoke, nwa nwoke, nwata nwaanyị, nwoke
👨‍👨‍👦‍👦	ezinaụlọ, ezinaụlọ: nwoke, nwoke, nwa nwoke, na nwa nwoke, nwa nwoke, nwoke
👨‍👨‍👧‍👧	ezinaụlọ, ezinaụlọ: nwoke, nwoke, nwata nwaanyị, na nwata nwaanyị, nwata nwaanyị, nwoke
👩‍👩‍👦	ezinaụlọ, ezinaụlọ: nwanyị, nwanyị, na nwa nwoke, nwa nwoke, nwanyị
👩‍👩‍👧	ezinaụlọ, ezinaụlọ: nwanyị, nwanyị, na nwata nwaanyị, nwanyị, nwata nwaanyị
👩‍👩‍👧‍👦	ezinaụlọ, ezinaụlọ: nwanyị, nwanyị, nwata nwaanyị, na nwa nwoke, nwa nwoke, nwanyị, nwata nwaanyị
👩‍👩‍👦‍👦	ezinaụlọ, ezinaụlọ: nwanyị, nwanyị, nwa nwoke, na nwa nwoke, nwa nwoke, nwanyị
👩‍👩‍👧‍👧	ezinaụlọ, ezinaụlọ: nwanyị, nwanyị, nwata nwaanyị, na nwata nwaanyị, nwanyị, nwata nwaanyị
👨‍👦	ezinaụlọ, ezinaụlọ: nwoke na nwa nwoke, nwa nwoke, nwoke
👨‍👦‍👦	ezinaụlọ, ezinaụlọ: nwoke, nwa nwoke, na nwa nwoke, nwa nwoke, nwoke
👨‍👧	ezinaụlọ, ezinaụlọ: nwoke na nwata nwaanyị, nwata nwaanyị, nwoke
👨‍👧‍👦	ezinaụlọ, ezinaụlọ: nwoke, nwata nwaanyị, na nwa nwoke, nwa nwoke, nwata nwaanyị, nwoke
👨‍👧‍👧	ezinaụlọ, ezinaụlọ: nwoke, nwata nwaanyị, na nwata nwaanyị, nwata nwaanyị, nwoke
👩‍👦	ezinaụlọ, ezinaụlọ: nwanyị na nwa nwoke, nwa nwoke, nwanyị
👩‍👦‍👦	ezinaụlọ, ezinaụlọ: nwanyị, nwa nwoke, na nwa nwoke, nwa nwoke, nwanyị
👩‍👧	ezinaụlọ, ezinaụlọ: nwanyị na nwata nwaanyị, nwanyị, nwata nwaanyị
👩‍👧‍👦	ezinaụlọ, ezinaụlọ: nwanyị, nwata nwaanyị, na nwa nwoke, nwa nwoke, nwanyị, nwata nwaanyị
👩‍👧‍👧	ezinaụlọ, ezinaụlọ: nwanyị, nwata nwaanyị, na nwata nwaanyị, nwanyị, nwata nwaanyị
🗣️	ihu, isi, isi na-ekwu okwu, kwuo, na-ekwu okwu, silhouette
👤	atụ dị na ọchịchịrị, isi na ubu mmadụ atụrụ, isi na ubu mmadụ atụrụ atụ dị na ọchịchịrị
👥	atụ dị na ọchịchịrị, isi na ubu mmadụ atụrụ, isi na ubu mmadụ atụrụ atụ dị na ọchịchịrị gasị
👣	akwà, bipụta, ụzọụkwụ, ụzọụkwụ gasị
🐵	ihu, ihu ènwè, ènwè
🐒	ènwè
🦍	ọzọdịmgba
🐶	ihu, ihu nkịta, nkịta, nwa
🐕️	nkịta, nwa nkịta
🐩	nkịta, nkịta ajị ajị
🐺	ihu, ihu nkịta ọhịa, nkịta ọhịa
🦊	ihu, ihu ihu nkịta ọhịa na-awụ̀ ọsọ, ihu nkịta ọhịa na-awụ̀ ọsọ
🐱	ihu, ihu nwaologbo, nwa, nwaologbo
🐈️	nwa nkịta, nwaologbo
🦁	Leo, ihu, ihu ọdụm, zodịak, ọdụm
🐯	ihu, ihu taịga, taịga
🐅	taịga
🐆	agụ àgwagwà
🐴	ihu, ihu inyinya, inyinya
🐎	egwuregwu inyinya, egwuregwu mwụfe ọgbà, inyinya, inyinyaọsọ
🦄	ihu, ihu inyinya nwere mpi, inyinya nwere mpi
🦓	akàrààgbà, anụ zebra
🦌	Atụ́
🐮	ehi, ihu, ihu ehi
🐂	Tọrus, oke ehi, zodịak
🐃	ehi ọhịa, ehi ọhịa mmiri, mmiri
🐄	nne ehi
🐷	ezi, ihu, ihu ezì
🐖	ezì, nne ezì
🐗	ezì, oke ezì
🐽	ezì, ihu, imi, imi ezì
🐏	Ariis, atụrụ, oke, zodịak, èbùlà
🐑	atụrụ, nne, nne atụrụ
🐐	Kaprịkọn, ewu, zodịak
🐪	inyinya ọ̀zàrà, mkpumkpu
🐫	inyinya ọ̀zàrà, inyinya ọ̀zàrà nwere mkpumkpu abụọ, mkpumkpu, mkpumkpu abụọ
🦒	giraafụ, spọtụ
🐘	enyi
🦏	ehi ọhịa otu mpì
🐭	ihu, ihu òke ọhịa, òke ọhịa
🐁	òke ọhịa
🐀	òke ụlọ
🐹	ihu, ihu òke bèkee, nwa, òke bèkee
🐰	ihu, ihu òke bèkee nti ogologo, nti ogologo, nwa, òke bèkee
🐇	nti ogologo, nwa, òke bèkee nti ogologo
🐿️	uzè
🦔	ahụogwu, ndịka oke
🦇	na-amị ọbara, ụsụ
🐻	bịar, ihu, ihu biar
🐨	anụmanụ koala, biar
🐼	ihu, ihu panda, panda
🐾	aka, aka mbipụta nzọụkwụ anụmanụ, mbipụta nzọụkwụ anụmanụ, ụkwụ
🦃	nnụnụ, torotoro
🐔	nnụnụ, ọkụkọ
🐓	akwa, nnụnụ, àkwamakwa
🐣	na-apụta n’àkwa, nnụnụ, nwa, nwa ọkụkụ na-apụta n’àkwa, nwaọkụkọ
🐤	nnụnụ, nwa, nwa ọkụkọ, nwaọkụkọ
🐥	chewe ihu na nwa ọkụkọ, nnụnụ, nwa, nwaọkụkọ
🐦️	nnụnụ
🐧	nnụnụ, nnụnụ sno
🕊️	fepụ, nduri, nnụnụ, udo
🦅	nnụnụ, ugo
🦆	nnụnụ, udele igbo
🦉	ikwikwi, nnụnụ, nwere uche
🐸	akịrị, ihu, ihu akịrị
🐊	agụiyi
🐢	mbè, mbè mmiri, nwa mbè
🦎	ihe na-arị arị, ngwere
🐍	Akaranribaama, agwọ, zodịak, ọgba mgbochi
🐲	akọrọakọ, dragọn, ihu, ihu dragọn
🐉	akọrọakọ, dragọn
🦕	brachiosaurus, brontosaurus, diplodocus, sauropod
🦖	Ngwere egbeigwe, Ụdị ngwere egbeigwe
🐳	ihu, na-agbọpụ mmiri, nnukwu azụ whelụ, nnukwu azụ whelụ na-agbọpụ mmiri
🐋	nnukwu azụ whelụ
🐬	nnukwu azụ dọlphịnụ, ntụli elu
🐟️	Akara ngosi, azụ̀, zodịak
🐠	azụ̀, azụ̀ mmiri, ebe okpomọọkụ
🐡	azụ̀, azụ̀ nwere ike itóó abụba
🦈	Nnukwu azụ, azụ, nnukwu
🐙	anụ mmiri
🐚	okirikiri, okpokoro, okpokoro okirikiri
🐌	ejù
🦋	ahụhụ, mara mma, mbubara, mbụbara
🐛	Chinchi, ahụhụ
🐜	agbịsị, ahụhụ
🐝	ahụhụ, aṅụ, aṅụ́ mmanụaṅụ
🐞	ahụhụ, ebe, ebe nwanyi, nnechịnchị, nneebe
🦗	Egwuregwu Kriket, ụ̀kpàlà
🕷️	ahụhụ, ududo
🕸️	udodo, ọnyà ududo
🦂	Nkwụkakpị, akpị, zodịak
💐	okooko, ukwu-ihe
🌸	cheri, nchapụta, nchapụta cheri, okooko
💮	okooko, okooko ọcha
🏵️	akwụkwọ ndịka okooko, osisi
🌹	okooko, rozu
🥀	kpọnwụrụ akpọnwụ, okooko, okooko kpọnwụrụ akpọnwụ
🌺	okooko, okooko bibuskus
🌻	anwụ, okooko, okookoanwụ
🌼	nchapụta, okooko
🌷	okooko, tulip
🌱	mkpụrụ, obere nwa
🌲	osisi na-adị ndụ kwa mgbe, osisi nnukwu
🌳	dị ụtọ, na-ekpuchi, osisi, osisi nke dị ụtọ
🌴	nkwụ, osisi, osisi nkwụ
🌵	kaktus, osisi
🌾	mkpụrụ, ngwù nke òsikapa, nti, osikapa
🌿	akwụkwọnri, mgbọrọgwụ̀
☘️	akwụkwọnri shamrock, osisi
🍀	4, akwụkwọnri, akwụkwọnri mgba anọ, anọ
🍁	akwụkwọnri, akwụkwọnri mgbe ise, mgbe ise, na-ada
🍂	akwụkwọ dara àdà, akwụkwọnri, na-ada
🍃	akwụkwọ na-efesasi n’ikukù, akwụkwọnri, fepụ, ikuku, mfesasi
🍄	ero, ero mkpụmkpụ
🍇	grepụ, grepụ gasị, mkpụrụosisi
🍈	mkpụrụosisi, mkpụrụosisi melọn
🍉	mkpụrụosisi, mkpụrụosisi mmirimelọn
🍊	Tangerinụ, mkpụrụosisi, oroma
🍋	mkpụrụosisi, oroma, oroma nkịrịsị
🍌	mkpụrụosisi, unerè
🍍	mkpụrụosisi, ọkwụrụ bekee
🍎	apùl ọbara ọbara, apụ̀l, mkpụrụosisi, ọbara
🍏	apùl, apùl ndụ ndụ, mkpụrụosisi, ndụ ndụ
🍐	mkpụrụosisi, ùbe bèkee
🍑	mkpụrụosisi, ụtụ
🍒	mkpụrụosisi, ụdara, ụdara gasị
🍓	mkpụrụosisi, strawberi, ụtụ
🥝	kiwi, mkpụrụosisi, mkpụrụosisi kiwi, nri
🍅	akwụkwọnri, mkpụrụosisi, tomato
🥥	akị bèkee, ihe mmịcha colada, nkwụ́
🥑	mkpụrụosisi, nri, ube bèkee
🍆	akwụkwọnri, mkpụrụosisi aubergine, mkpụrụosisi ndịka akwa
🥔	akwụkwọnri, ji bèkee, nri
🥕	Karọt, akwụkwọnri, karọt, nri
🌽	nti, ogbo nke ọkà, ọkà, ụzọ
🌶️	oso, ọkụ, ọsọ ọkụ
