🦵🏻	karnacja jasna, kopniak, kończyna, noga, noga: karnacja jasna
🧶	kłębek, robienie na drutach, szydełkowanie, włóczka
🔇	cicho, cisza, głośnik, głośność, wyciszony głośnik, wyciszyć
🔉	średnia, średnia głośność głośnika
🔊	duża głośność, wysoka głośność, wysoka głośność głośnika
📢	głośnik, głośno, komunikaty publiczne
📣	kibicować, megafon
📯	poczta, pocztowa, róg, trąbka, trąbka pocztowa
🔔	dzwon, dzwonek
🔕	cicho, cisza, dzwonek, nie wolno, przekreślony dzwonek, zabroniony, zakazany
🎼	klucz, muzyka, nuty, partytura, pięciolinia
🎵	muzyka, nuta
🎶	muzyka, nuta, nuty
🎤	karaoke, mikrofon, muzyka
🎷	instrument, muzyka, saksofon
🎸	gitara, instrument, muzyka
🎹	fortepian, instrument, keyboard, klawiatura, klawisze, muzyka, pianino
🎺	instrument, muzyka, trąbka
🎻	altówka, instrument, muzyczny, skrzypce, smyczek, strunowy
🥁	bęben, bębenek, grać, muzyka
📱	komóra, komórka, smartfon, telefon, telefon komórkowy
📲	dzwonić, komóra, komórka, odebrać, połączenie, smartfon, strzałka, telefon, telefon komórkowy ze strzałką
📞	słuchawka, słuchawka telefoniczna, telefon
📠	faks
🔋	akumulator, akumulatorek, bateria
🔌	elektryczna, podłączyć, wtyczka elektryczna
💽	dysk MD, dysk komputerowy, płyta
💾	dyskietka, komputerowa, miękki dysk
📀	Blu-ray, CD, DVD, dysk
🧮	liczydło, obliczanie
🎥	film, kamera, kamera filmowa, kinematografia, kino
📸	aparat, aparat fotograficzny z lampą błyskową, flesz, lampa błyskowa
📼	kaseta wideo, taśma
🔍	lupa, lupa pochylona w lewo, skierowana w lewo, szukaj
🔎	lupa, lupa pochylona w prawo, skierowana w prawo, szukaj
💡	pomysł, światło, żarówka
🔦	elektryczna, lampka, latarka, światło
🏮	bar izakaya, czerwony lampion, izakaya
📔	książka, notatnik, notes, notes z dekoracyjną okładką, okładka, ozdobna
📕	książka, zamknięta, zamknięta książka
📖	książka, otwarta, otwarta książka
📗	książka, zielona, zielona książka
📘	książka, niebieska, niebieska książka
📙	książka, pomarańczowa, pomarańczowa książka
📓	notatnik, notes, szary, zeszyt
📒	notatnik, skoroszyt, zeszyt, żółty
📃	kartka, maszynopis, strona, zawinięta strona
📜	edykt, pergamin, pismo, zwój
📄	kartka, maszynopis, pismo, strona
📰	gazeta, wiadomości
🗞	gazeta, papier, rulon, zrolowana, zwinięta, zwinięta gazeta, zwitek
📑	karta, karty zakładek, przekładka, zakładka, znak
🔖	zakładka, zaznaczenie
💴	bank, banknot, banknot jena, pieniądze, rachunek, waluta
💵	bank, banknot, banknot dolara, pieniądze, rachunek, waluta
💶	bank, banknot, banknot euro, pieniądze, rachunek, waluta
💷	bank, banknot, banknot funta, pieniądze, rachunek, waluta
💸	bank, banknot, pieniądze, rachunek, skrzydła, uskrzydlone pieniądze, waluta
🧾	dowód, księgowość, paragon, pokwitowanie
💹	bank, jen, pieniądze, rynek, trend wzrostowy, w górę, waluta, wykres, wykres wzrostu z symbolem jena, wzrost
💱	kantor, waluta, wymiana, wymiana walut
💲	dolary, gruby symbol dolara, pieniądze, usd, waluta
📧	e-mail, email, list, mail, poczta elektroniczna
📨	e-mail, email, koperta przychodząca, list, mail, poczta elektroniczna
📩	koperta ze strzałką, odebrać, poczta, przychodząca, wiadomość
📮	na listy, skrzynka na listy, skrzynka pocztowa
📝	kartka, notatka, ołówek, papier, zapiski
💼	aktówka, neseser, teczka
📁	folder, katalog
📂	folder, katalog, otwarty, otwarty folder
📅	data, kalendarz
📆	data, kalendarz z wyrywanymi kartkami, spirala, zdzierany kalendarz
📇	wizytownik, wizytówka, wizytówki
📈	tendencja wzrostowa, trend zwyżkowy, wykres wzrostu, wzrost
📉	spadek, strata, tendencja spadkowa, trend zniżkowy, wykres spadku
📊	słupek, wykres, wykres słupkowy
📌	pinezka, przypiąć
📍	okrągła pinezka, z główką
📎	druciany, spinacz, spinać
📏	linia, linijka, prosta, prosta krawędź
📐	ekierka, linia prosta, linijka, trójkąt
🔏	atrament, niejawne, pióro, podpis, prywatność, zamknięta kłódka z piórem
🔐	blokada, kluczyk, kłódka, zamknięcie, zamknięta kłódka z kluczem
🔑	hasło, klucz, zamek, zamknąć
🔨	młot, młotek, narzędzie
🔫	broń, broń palna, pistolet, rewolwer
🏹	broń, narzędzie, strzała, strzelec, zodiak, łucznik, łuk, łuk i strzała
🔧	klucz warsztatowy, mechanik, narzędzie, warsztat
🔩	gwint, mocowanie, nakrętka, śruba, śruba i nakrętka
🔗	hiperłącze, link, ogniwa, ogniwo, połączenie
🧰	mechanik, narzędzie, skrzynka, skrzynka na narzędzia
🧲	magnes, magnetyzm, podkowa, przyciąganie
🧪	chemia, chemik, eksperyment, laboratorium, nauka, probówka
🧫	bakteria, biolog, biologia, kultura, laboratorium, płytka Petriego
🧬	biolog, dna, ewolucja, gen, genetyka, życie
🔬	mikroskop, obserwacja, powiększenie
🔭	luneta, obserwacja, powiększenie, teleskop
📡	antena satelitarna, czasza, satelita, talerz
💉	chory, doktor, lekarstwo, lekarz, pielęgniarka, przyrząd, strzykawka, szczepienie, szczepionka, zastrzyk
💊	kapsułka, lekarstwo, tabletka
🚪	drzwi
🚽	dolnopłuk, muszla klozetowa, sedes, toaleta, ubikacja
🚿	prysznic, woda, łazienka
🛁	kąpiel, wanna
🧴	balsam, butelka z płynem, krem do opalania, mleczko, szampon
🧷	agrafka, pielucha, punk, punk rock
🧹	czarownica, miotła, sprzątanie, zamiatanie
🧺	kosz, piknik, pranie, rolnictwo
🧻	papier toaletowy, rolka papieru, ręczniki papierowe
🧼	kostka, kąpiel, mycie, mydelniczka, mydło, piana
🧽	gąbka, mycie, porowata, wchłanianie
🧯	gaśnica, ogień, ugasić, zgasić
🛒	koszyk, sklep, wózek, wózek sklepowy, zakupy
🚬	dla palących, dym, dymek, papieros
🗿	moai, posąg, twarz, wyspa wielkanocna
🏧	ATM, znak bankomatu
🚮	kosz, nie śmiecić, znak kosza na śmieci, śmieci, śmiecić
🚰	kran, pitna, pić, woda, woda pitna
🚻	toaleta, toalety, ubikacja, łazienka
🚾	WC, szalet, toaleta, ubikacja, ustęp, wc
🛂	granica, graniczna, kontrola, kontrola paszportowa, paszport
🛃	celna, komora celna, kontrola, kontrola celna
🛄	bagaż, odbiór, odbiór bagażu
🛅	kluczyk, pozostawiony bagaż, przechowalnia bagażu, walizka, zamknięcie
🚸	dzieci, dzieci przechodzące przez jezdnię, dziecko, przejście da pieszych, uwaga
🚫	brak przejścia, wejście, zabronione, zakaz
🚳	nie wolno, pojazd, rower, zabroniony, zakaz, zakaz wjazdu rowerów
🚯	nie wolno, nie wyrzucać, zabronione, zakaz, zakaz śmiecenia, śmieci
🚱	nie pić, nie wolno, niezdatna, woda, woda niezdatna do picia, zabronione, zakaz
🚷	nie wolno, pieszy, przejście wzbronione, zabronione, zakaz, zakaz ruchu pieszych
📵	komórka, nie wnosić, nie wolno, telefon komórkowy, zabroniony, zakaz, zakaz korzystania z telefonów komórkowych
🔞	18, niedozwolone poniżej osiemnastego roku życia, od lat osiemnastu, ograniczenie wiekowe, zakaz, zakaz poniżej osiemnastego roku życia
🔃	odśwież, okrężny, pionowe strzałki zgodne z ruchem wskazówek zegara, pionowe strzałki zgodnie z ruchem wskazówek zegara, strzałka
🔄	dookoła, okrężny, przycisk ze strzałkami przeciwnie do ruchu wskazówek zegara, przycisk ze strzałkami w kierunku przeciwnym do ruchu wskazówek zegara, strzałka
🔙	strzałka, strzałka wstecz, wstecz
🔚	koniec, strzałka, strzałka z napisem END
🔛	strzałka, strzałka z napisem ON!, włączone
🔜	strzałka, strzałka z napisem SOON, wkrótce
🔝	góra, strzałka, strzałka z napisem TOP
🛐	kościół, kult, miejsce kultu, modlitwa, religia, świątynia
🕎	kandelabr, menora, religia, świecznik
🔯	gwiazda sześcioramienna z kropką, szczęście
⛎	Wężownik, wężownik, znak zodiaku, zodiak
🔀	krzyżujące się, przecinające się, przycisk losowego odtwarzania utworów, skrzyżowane, strzałki
🔁	dookoła, okrężny, ponów, powtórz, przycisk powtarzania, strzałki, w prawo
🔂	dookoła, okrężny, ponów raz, powtórz raz, przycisk powtarzania jednokrotnego, strzałki, w prawo
▶	odtwórz, strzałka, trójkąt, w prawo
⏩	do przodu, podwójna, przewiń, przycisk szybkiego przewijania do przodu, strzałka, szybkie przewijanie, trójkąt
⏭	następny, następny utwór, strzałka, trójkąt
⏯	odtwórz, odtwórz lub wstrzymaj, pauza, strzałka, trójkąt, w prawo, wstrzymaj
◀	strzałka, trójkąt, w lewo, wstecz
⏪	do tyłu, podwójna, przewiń, przycisk szybkiego przewijania do tyłu, strzałka, szybkie przewijanie, trójkąt, w lewo, wstecz
⏮	poprzedni, poprzedni utwór, strzałka, trójkąt
🔼	do góry, przycisk „w górę”, strzałka, trójkąt
⏫	do góry, podwójna, przycisk „szybko w górę”, strzałka, w górę
🔽	na dół, przycisk „w dół”, strzałka, trójkąt
⏬	na dół, podwójna, przycisk „szybko w dół”, strzałka, w dół
🎦	film, kino, kręcić film
🔅	jasność, mała, niska, przyciemnić, przycisk małej jasności
🔆	duża, jasność, przycisk dużej jasności, rozjaśnić, wysoka
📶	sieć komórkowa, siła sygnału, zasięg
📳	komórka, telefon komórkowy, tryb wibracji, wibracje
📴	komórka, telefon komórkowy, wyłącz, wyłączony, wyłączony telefon komórkowy
⚜	harcerze, lilijka
🔱	emblemat, emblemat z trójzębem, kotwica, okręt, statek
📛	plakietka, z imieniem
🔰	japoński symbol początkującego kierowcy, niebieski, początkujący, szewron, w dół, żółty
✅	gruby biały znacznik wyboru, parafka, ptaszek, zaznaczenie
❌	anuluj, iks, mnożenie, x, znak krzyżyka
❎	anuluj, iks, iks w kwadracie, krzyżyk w kwadracie, mnożenie, przycisk z krzyżykiem
➕	dodać, gruby znak plus
➖	gruby znak minus, odjąć
➗	dzielenie, gruby znak dzielenia, matematyka
➰	pętla, zawijas
➿	podwójna, podwójna pętla, pętla, zawijas
❔	biały znak zapytania, o co chodzi?, pytajnik, pytanie, znak zapytania
❕	biały wykrzyknik, krzyk, okrzyk, wykrzyknik
💯	100, setka, sto punktów, stówa, stówka
🔠	abcd, duże litery, kapitaliki, pisać, wielkie litery (alfabet łaciński), wielkimi literami, wprowadzać, łacińskie
🔡	abcd, małe litery (alfabet łaciński), małymi literami, pisać, wprowadzać, łacińskie
🔢	1234, cyfry, liczby, pisać
🔣	pisać, symbole, wprowadzać, znaki
🔤	abecadło, alfabet, litery (alfabet łaciński), małe litery, pierwsze litery
🆎	AB, grupa AB, grupa krwi AB, krew
🆑	przycisk CL, znak CL
🆒	aprobata, cool, przycisk COOL, zachwyt, świetnie
🆓	przycisk FREE, znak FREE, znak braku opłaty
🆔	ID, identyfikator, przycisk ID, znak ID
🆕	NEW, nowość, nowy, przycisk NEW
🆖	NG, niedobrze, przycisk NG, źle
🆗	dobrze, przycisk OK, w porządku, zgoda
🆘	na pomoc, przycisk SOS, ratunek, ratunku
🆙	do góry, przycisk UP!, znak UP!
🆚	VS, kontra, przycisk VS, versus
🈁	ideogram, japoński, japoński przycisk „tutaj”, koko
🈷	ideogram, ideogram księżyca, japoński, księżyc
🈶	ideogram, istnienie, japoński, japoński przycisk „płatne”
🈯	ideogram, japoński, japoński przycisk „zarezerwowane”, palec
🉐	ideogram, japoński, japoński przycisk „okazja”, korzyść, przewaga
🈹	ideogram, japoński, japoński przycisk „rabat”, podział
🈚	ideogram, japoński, japoński przycisk „bezpłatne”, negacja
🈲	ideogram, japoński, japoński przycisk „zabronione”, zakaz
🉑	akceptacja, chiński, ideogram, japoński przycisk „dozwolone”
🈸	ideogram, japoński, japoński przycisk „wniosek”, zastosowanie
🈴	ideogram, japoński, japoński przycisk „ocena pozytywna”, razem
🈳	ideogram, japoński, japoński przycisk „wolne miejsce”, pusty
🈺	działa, ideogram, japoński, japoński przycisk „czynne”
🈵	ideogram, japoński, japoński przycisk „brak wolnych miejsc”, wypełnienie
🔴	czerwone, czerwone koło, figura geometryczna, koło, kółko
🔵	figura geometryczna, koło, kółko, niebieskie, niebieskie koło
🔶	duży, duży pomarańczowy romb, figura geometryczna, kształt, pomarańczowy, romb
🔷	duży, duży niebieski romb, figura geometryczna, kształt, niebieski, romb
🔸	figura geometryczna, kształt, mały, mały pomarańczowy romb, pomarańczowy, romb
🔹	figura geometryczna, kształt, mały, mały niebieski romb, niebieski, romb
🔺	czerwony, czerwony trójkąt skierowany w górę, do góry, figura geometryczna, trójkąt, w górę, wierzchołkiem
🔻	czerwony, czerwony trójkąt skierowany w dół, figura geometryczna, na dół, trójkąt, w dół, wierzchołkiem
💠	klejnot, romb, romb z kropką
🔘	figura geometryczna, kółko, przycisk radiowy, przycisk wyboru opcji
🔲	biały, czarny, czarny kwadratowy przycisk, figura geometryczna, kwadrat, obramowanie
🔳	biały, biały kwadratowy przycisk, czarny, figura geometryczna, kwadrat, obramowanie
🏁	flaga w kratkę, flaga w szachownicę, wyścigi
🚩	chorągiewka, czerwona flaga, flaga, flaga trójkątna, słupek
🎌	japońskie, skrzyżowane, skrzyżowane flagi, uroczystość
🏴	czarna flaga, flaga, na wietrze, żałoba
🏳‍🌈	flaga, tęcza, tęczowa flaga
🏴‍☠	Jolly Roger, czaszka i kości, piraci, piracka flaga, pirat, skarb
©️	Znak praw autorskich, copyright, prawa autorskie
®️	R, Zarejestrowany znak towarowy, towarowy, zarejestrowany
‼️	krzyk, okrzyk, podwójny wykrzyknik, wykrzykniki
⁉️	nie rozumiem, pytajnik, pytanie, wykrzyknik, wykrzyknik ze znakiem zapytania, zaskoczenie, znak zapytania
™️	TM, znak towarowy
ℹ️	i, informacja, informacje, punkt informacyjny, źródło informacji
↔️	dwukierunkowa, lewo-prawo, na boki, strzałka w lewo i w prawo
↕️	dwukierunkowa, góra-dół, strzałka do góry i na dół, strzałka w górę i w dół
↖️	kierunek, północny zachód, strzałka, strzałka do góry w lewo, strzałka w górę w lewo
↗️	kierunek, północny wschód, strzałka, strzałka do góry w prawo, strzałka w górę w prawo
↘️	kierunek, południowy wschód, strzałka, strzałka w dół w prawo
↙️	kierunek, południowy zachód, strzałka, strzałka na dół w lewo, strzałka w dół w lewo
↩️	strzałka, strzałka zakręcona w lewo, zakręt, zawróć
↪️	strzałka, strzałka zakręcona w prawo, zakręt, zawróć
⌚️	godzina, zegarek
⌛️	czas, klepsydra, odmierzać, piasek
⌨️	klawiatura, komputer, pisać
⏏️	kreska, trójkąt, wysuń
⏱️	czasomierz, stoper
⏲️	czasomierz, minutnik, zegar
⏳️	czas, klepsydra, klepsydra z przesypującym się piaskiem, odmierzać, piasek
⏸️	dwie, pauza, pionowe kreski, wstrzymaj
⏹️	kwadrat, stop, zatrzymaj
⏺️	kółko, nagraj, nagrywanie
Ⓜ️	koło z literą M, kółko, m, metro
▪️	czarny, figura geometryczna, kwadracik, kwadrat, mały czarny kwadrat
▫️	biały, figura geometryczna, kwadracik, kwadrat, mały biały kwadrat
◻️	biały, duży, figura geometryczna, kwadrat, średni, średni biały kwadrat
◼️	czarny, duży, figura geometryczna, kwadrat, średni, średni czarny kwadrat
◽️	biały, figura geometryczna, kwadracik, kwadrat, mały/średni biały kwadrat
◾️	czarny, figura geometryczna, kwadrat, mały, mały/średni czarny kwadrat
☀️	jasne, kosmos, pogoda, promienie, słonecznie, słońce
☁️	chmura, pogoda
☂️	deszcz, opady, pada, parasol, pogoda
☃️	bałwanek i płatki śniegu, pogoda, zabawa na śniegu, zimno, śnieg
☄️	kometa, kosmos, ogon
☎️	aparat telefoniczny, telefon
☑️	parafka, pole ze znacznikiem wyboru, ptaszek, zaznaczenie
☔️	deszcz, opady, pada, parasol z kroplami deszczu, pogoda
☕️	gorąca, gorący napój, herbata, kawa, napój, parująca, picie
☘️	koniczyna, koniczynka, roślina
☝️	do góry, góra, palec, palec wskazujący w górę, w górę, wskazujący
☠️	czaszka z piszczelami, duch, kościotrup, piraci, piszczele, potwór, szkielet, trupia czaszka, śmierć
☢️	promieniowanie, promieniowanie radioaktywne, radiacja, radioaktywne
☣️	biozagrożenie, niebezpieczeństwo, organizm, zagrożenie, zagrożenie ze strony organizmów żywych, żywy
☦️	chrześcijaństwo, krzyż, krzyż ortodoksyjny, krzyż prawosławny, krzyżyk, religia
☪️	gwiazda i półksiężyc, islam, muzułmanin, religia
☮️	pacyfa, symbol pokoju
☯️	religia, tao, taoizm, yang, yin, yin-yang
☸️	buddysta, buddyzm, dharma, koło, koło dharmy, religia
☹️	grymas, niezadowolenie, zachmurzona twarz
☺️	buźka, uśmiech, uśmiechnięta twarz, zrelaksowany
♀️	kobieta, znak, znak kobiety, żeński
♂️	męski, mężczyzna, znak, znak mężczyzny
♈️	Baran, baran, znak zodiaku, zodiak
♉️	Byk, byk, znak zodiaku, zodiak
♊️	Bliźnięta, bliźnięta, znak zodiaku, zodiak
♋️	Rak, rak, znak zodiaku, zodiak
♌️	Lew, lew, znak zodiaku, zodiak
♍️	Panna, panna, znak zodiaku, zodiak
♎️	Waga, waga, znak zodiaku, zodiak
♏️	Skorpion, skorpion, znak zodiaku, zodiak
♐️	Strzelec, strzelec, znak zodiaku, zodiak
♑️	Koziorożec, koziorożec, znak zodiaku, zodiak
♒️	Wodnik, wodnik, znak zodiaku, zodiak
♓️	Ryby, ryby, znak zodiaku, zodiak
♟️	pionek, szachy
♠️	gra, karta, pik, talia
♣️	gra, karta, talia, trefl
♥️	gra, karta, kier, talia
♦️	gra, karo, karta, talia
♨️	gorące, gorące źródła, para, woda, źródło
♻️	odpady, recykling, surowce wtórne
♾️	bezgraniczność, nieskończoność, wieczność
♿️	inwalida, na wózku, niepełnosprawny, symbol wózka inwalidzkiego, wózek
⚒️	kilof, młot, młoty, narzędzia
⚓️	kotwica, okręt, przyrząd, statek
⚔️	biała broń, miecze, skrzyżowane, skrzyżowane miecze
⚕️	eskulap, laska, medycyna, symbol medycyny
⚖️	ciężar, narzędzie, równowaga, sprawiedliwość, waga, waga szalkowa, ważyć, zodiak
⚗️	alembik, chemia, kolba, menzurka, naczynie, probówka, szklane
⚙️	koło zębate, kółko, skrzynia biegów, zębate, zębatka
⚛️	atom, symbol atomu
⚠️	ostrzeżenie, uwaga, wykrzyknik, znak ostrzegawczy
⚡️	błysk, błyskawica, elektryczność, napięcie, niebezpieczeństwo, piorun, wysokie napięcie
⚪️	białe, białe koło, figura geometryczna, koło, kółko
⚫️	czarne, czarne koło, figura geometryczna, koło, kółko
⚰️	pogrzeb, trumna, śmierć
⚱️	pogrzeb, urna, urna na prochy, śmierć
⚽️	futbolówka, nożna, piłka, piłka nożna
⚾️	baseball, piłka
⛄️	bałwan, bałwan bez śniegu, pogoda, zabawa na śniegu, zimno, śnieg
⛅️	chmura, pogoda, słońce, słońce zza chmury
⛈️	błyskawica, chmura, chmura z piorunem i deszczem, deszcz, piorun, pogoda
⛏️	górnicze, kilof, narzędzie
⛑️	hełm, kask, kask z krzyżykiem, krzyż, krzyżyk, pomoc
⛓️	ogniwa, łańcuch, łańcuchy
⛔️	wejście, wstęp, zabroniony, zakaz, zakaz wjazdu
⛩️	japońska, religia, shinto, świątynia, świątynia shinto
⛪️	chrześcijański, kościół, krzyż, religia, świątynia
⛰️	góra
⛱️	deszcz, parasol, parasol plażowy wbity w ziemię, pogoda, słońce
⛲️	fontanna
⛳️	flaga w dołku, golf, otwór
⛴️	prom, łódź
⛵️	jacht, kurort, morze, pojazd, łódka, żaglówka
⛷️	narciarz, narty, stok, śnieg
⛸️	but z łyżwą, lodowisko, lód, łyżwa
⛹️	kozłować, osoba kozłująca piłkę, piłka
⛺️	kemping, namiot, obóz, pole namiotowe
⛽️	benzyna, dystrybutor, dystrybutor paliwa, stacja paliw
