‾	tapae
🐝	hanipī, ngārara, pī
🐞	pāpapa, pāpapa kōpure, pēpeke
🦗	kirikiti, māwhitiwhiti
🕷️	ngārara, pēpeke
🕸️	ngārara, tukutuku, tukutuku ngārara
🦂	Scorpius, kopiona, poutiriao, scorpio
💐	putiputi, tākai putiputi
🌸	putiputi, putiputi tieri, puāwai, tieri
💮	putiputi, putiputi mā
🏵️	rōhiti, tipu
🌹	putiputi, rōhi
🥀	menge, putiputi, putiputi kautaka
🌺	puarangi, putiputi
🌻	putiputi, putiputirā, rā
🌼	putiputi, puāwai
🌷	putiputi, tūripi
🌱	hōu, tipu
🌲	rākau, rākau māota
🌳	rākau, rākau whakamakere rau, tukurau, whakamakere rau
🌴	nīkau, rākau
🌵	tipu, tātā tiotio
🌾	kākati raihi, pata, puku, raihi
🌿	amiami, rau
☘️	hamitoka, tipu
🍀	4, koroa, koroa whā rau, rau, whā
🍁	hinga, mapera, rau, rau mapera
🍂	makere ana, rau, rau makere
🍃	hau, kapakapa, puhi, rau, rau kapakapa hau
🍄	harore, tūruporaka
🍇	hua, karepe, ngā karepe
🍈	hua, merengi
🍉	hua, merengiwai
🍊	hua, tāngarīni, ārani
🍋	hua, rēmana, waikawa
🍌	hua, panana
🍍	hua, paināporo
🍎	hua, whero, āporo, āporo whero
🍏	hua, kākāriki, āporo, āporo kākāriki
🍐	hua, pea
🍑	hua, pītiti
🍒	hua, ngā tieri, tieri
🍓	hua, pere, rōpere
🥝	hua, hua kiwi, kai, kiwi
🍅	hua, huawhenua, tomato
🥥	kokonati, nīkau, pīna korara
🥑	awakāro, huarākau, kai
🍆	huawhenua, otahua
🥔	huawhenua, kai, rīwai
🥕	huawhenua, kai, kāroti
🌽	kānga, puku kānga, taringa
🌶️	pepa, pepa wera, wera
🥒	huawhenua, kai, kūkama, pīkara
🥦	kāpeti kōraha, porokori
🥜	huawhenua, kai, nati, pīnati
🌰	hetenati, tipu
🍞	parāoa, rohi
🥐	kai, parāoa, parāoarīpeka, pōkai pewa, wīwī
🥖	kai, pakete, parāoa, parāoa pakete, wīwī
🥨	pretzel, whiri
🥞	kai, kekewera, kerēpe, panekeke
🧀	matakahi tīhi, tīhi
🍖	kōiwi, mīti, mīti runga kōiwi
🍗	heihei, kōiwi, manu, waewae, waewae manu
🥩	rara, rara poaka, rara reme, tapahitanga mīti, tēki
🥓	kai, mīti, pēkana
🍔	hāmipēka, pāki
🍟	ngā parai wīwī, parai, wīwī
🍕	parehe, poro, tīhi
🌭	hōtiti, hōtiti pakipeta, kurī wera, kurīwera
🥪	hanewiti, parāoa
🌮	mehikana, tako
🌯	mehikana, purito, takai
🥙	kai, kepapa, parāoapapa, parāoapapa whakakī, tōrino, whakakī, wharawhere
🥚	hēki, kai
🍳	hēki, parai, pēne, tao ana
🥘	kaherora, kai, paera, pāpaku, pēne, pēne kai pāpaku
🍲	kōhua, kōhua kai, tiu
🥣	congee, hereara, paepae me te pūnu, parakuihi
🥗	huamata, huamata kākāriki, kai, kākāriki
🍿	kāngapahū
🥫	kai kēne, kēne
🍱	pouaka peneto
🍘	pihikete, pihikete raihi, raihi
🍙	Hapanīhi, pōro, pōro raihi, raihi
🍚	maoa, raihi, raihi maoa
🍛	kari, raihi, raihi kari
🍜	korohū, nūru, paepae, paepae korohū, ramen
🍝	pakēti, parāoa rimurapa
🍠	kūmara tunutunu, reka, rīwai, tukutuku
🍢	kaimoana, kepapa, otene, rākau, wero
🍣	hūhi
🍤	kōura, kōuraura, kōuraura parai, parai, temepura
🍥	ika, keke, keke ika whai koru, koru, pōhā
🍡	Hapanīhi, puruni, reka, rākau, tāngoro, wero
🥟	empanada, gyōza, jiaozi, parāoa kinikini, pierogi
🥠	pihikete matapae, poropititanga
🥡	paepae tio, pouaka kaweatu
🦀	Cancer, poutiriao, pāpaka
🦐	kai, kōuraura, mātaitai, ririki
🦑	kai, kota, ngū
🍦	aihikirīmi, aihikirīmi ngohengohe, huka, kirīmi, ngohengohe, puruni, reka
🍧	heua, huka, huka heuheu, puruni, reka
🍨	aihikirīmi, huka, kirīmi, puruni
🍩	puruni, reka, tōnati
🍪	pihikete, puruni, reka
🎂	keke, keke rāwhānau, puruni, pōhā, reka, rāwhānau, whakanuinga
🍰	keke, kekepoto, poro, puruni, pōhā, reka
🥧	pāi, pōhā, whakakī
🍫	pae, pae tiokorete, puruni, reka, tiokoreti
🍬	puruni, rare, reka
🍭	puruni, rare, rarepapa, reka
🍮	katete, puruni, reka
🍯	honi, kōhua, paepae honi, reka
🍼	miraka, pātara, pātara pēpi, pēpi, unu
🥛	karāhe, karāhe miraka, miraka, unu
☕️	mamaoa, puruni, reka wera, tī, unu wera
🍵	kapu, tī, tīkapu, tīkapu kore kakau, unu
🍶	hake, kapu, pae, pātara, unu
🍾	pae, pahū ana, puru, pātara, pātara puru pahū, unu
🍷	karāhe, karāhe waina, pae, unu, waina
🍸️	karāhe, karāhe unuranu, pae, unu, unuranu
🍹	pae, pārūrū, unu, unu pārūrū
🍺	maka, maka pia, pae, pia, unu
🍻	maka, ngā maka pia tutuki, pae, pia, tutuki, unu
🥂	karāhe, karāhe tutuki, tutuki, unu, whakanui
🥃	ipurau, karāhe, karāhe ipurau, pota, waipiro, wihike
🥤	kapu me te ngongo, wai huarākau, wai reka
🥢	hashi, rākaukai
🍽️	naihi, paoka, paoka me naihi me pereti, pereti, tao ana
🍴	naihi, paoka, paoka me te naihi, tao ana
🥄	pūnu, taongatēpu
🔪	hocho, naihi, naihi kīhini, rākau-riri, tao ana, utauta
🏺	Aquarius, amapora, poutiriao, rākau, tao ana, tiaka, unu, utauta
🌍	Uropi, ao, ao whakakite Uropi-Āwherika, whenua, Āwherika
🌎️	ao, ao whakakite i ngā Amerika, ngā Amerika, whenua
🌏	Ahitereiria, ao, ao whakakite Āhia-Ahitereiria, whenua, Āhia
🌐	ao, ao whai poutūmārō, ngā poutūmārō, whenua
🗺️	ao, mahere, mahere ao
🗾	Hapani, mahere, mahere o Hapani
🏔️	hukarere, makariri, maunga, maunga tihi-hukarere
⛰️	maunga
🌋	maunga, puia
🗻	fuji, maunga, maunga fuji
🏕️	puninga
🏖️	hāmarara, onepū, onepū me te hāmarara
🏜️	kōraha
🏝️	kōraha, motu, motu kōraha
🏞️	papa rēhia, papa rēhia ā-motu
🏟️	taiwhanga hākinakina
🏛️	hanganga tauhira, tauhira
🏗️	hangatanga, hangatanga whare
🏘️	ngā whare
🏚️	pāea, whare, whare pāea
🏠️	kainga, whare
🏡	kāinga, māra, whare, whare me te māra
🏢	hanganga, hanganga tari
🏣	Hapanīhi, poutāpeta Hapanīhi, pōhi
🏤	Uropi, poutāpeta, pōhi
🏥	hōhipera, rata, rongoā
🏦	hanganga, pēke
🏨	hanganga, hōtēra
🏩	aroha, hōtēra, hōtēra aroha
🏪	haratau, pātaka, pātaka haratau
🏫	hanganga, kura
🏬	pātaka, pātaka taiwhanga maha, taiwhanga maha
🏭️	hanganga, wheketere
🏯	Hapanīhi, whare kīngi, whare kīngi Hapanīhi
🏰	Uropi, whare kīngi
💒	mārenatanga, whakawhaiāipo, whare karakia
🗼	Tōkio, pourewa, pourewa Tōkio
🗽	rangatiratanga, te whakapakoko rangatiratanga, whakapakoko
⛪️	hāhi, karaitiana, momo karakia, rīpeka
🕌	ihirama, momo karakia, muhurimi, mōhiku
🕍	hūrae, momo karakia, temepara, whare karakia hūrae
⛩️	hinito, momo karakia, wāhi tapu, wāhi tapu hinito
🕋	ihirama, kaapa, momo karakia, muhurimi
⛲️	puna torotī
⛺️	puninga, tēneti
🌁	kohu, kohukohu
🌃	pō, pō whai whetū, whetū
🏙️	ataata tāonenui, tāonenui
🌄	ata, maunga, rā, rā whiti, whitinga rā runga maunga
🌅	ata, rā, whitinga o te rā
🌆	ahiahi, paewhenua, porehu, rā, rātō, tāonenui, whakahuahua tāonenui porehu
🌇	porehu, rā, tōnga o te rā
🌉	arawhata, arawhata i te pō, pō
♨️	korohuhū, puna, wai ariki, waiariki, wera
🎠	hōiho, hōiho porowhawhe, porowhawhe
🎡	papa whakangahau, pērihi, wīra, wīra pērihi
🎢	papa whakangahau, pūkawe, takataka, tereina tō-ā-papa whakangahau
💈	kaikuti-makawe, kutinga-makawe, pou, pou kaikuti-makawe
🎪	manini rau, tēneti, tēneti manini rau
🚂	mamaoa, pūkaha, pūkaha tereina, rerewē, tereina
🚃	pūhiko, rerewē, tarāme, tereina, waka, waka pāhiko, waka rerewē
🚄	rerewē, shinkansen, tere, tereina, tereina tino tere
🚅	matā, rerewē, shinkansen, tere, tereina, tereina tino tere ihu matā
🚆	rerewē, tereina
🚇️	rarowhenua, rerewē rarowhenua
🚈	rerewē, rerewē māmā
🚉	rerewē, teihana, tereina
🚊	tarāme, waka pāhiko
🚝	rōautahi, waka
🚞	maunga, rerewē, rerewē maunga, waka
🚋	tarāme, waka, waka pāhiko, waka tarāme
🚌	pahi, waka
🚍️	anga mai, pahi, pahi anga mai
🚎	pahi, tarāme, waka pāhiko
🚐	pahi, pahi iti
🚑️	waka, waka tūroro
🚒	ahi, mīhini, taraka, waka tinei ahi
🚓	motokā, pirihimana, tira, waka pirihimana
🚔️	anga mai, motokā, pirihimana, waka pirihimana anga mai
🚕	takihī, waka
🚖	anga mai, takihī, takihī anga mai
🚗	motokā
🚘️	anga mai, motokā, motokā anga mai
🚙	hākinakina, taraka hākinakina
🚚	taraka, taraka tiki, tiki
🚛	hemi, taraka, taraka tautō
🚜	tarakita, waka
🏎️	motokā, motokā tauwhainga, tauwhainga
🏍️	motopaika, tauwhainga
🛵	hūpaika, pūkaha
🚲️	pahikara
🛴	kuta, kuta whana, whana
🚏	pahi, tūnga, tūnga pahi
🛣️	ara, huanui
🛤️	ara rerewē, rerewē, tereina
🛢️	hinu, taramu, taramu hinu
⛽️	hinu, papu, papu hinu, papuhinu, penehīni, teihana
🚨	hurihuri, motokā, māmā, pirihimana, rama, rama waka pirihimana
🚥	ngā waka, poutohu, rama, rama huarahi haupae
🚦	ngā waka, poutohu, rama, rama huarahi poutū
🛑	tapawaru, tohu, tohu tū, tū
🚧	hangatanga, tauārai
⚓️	punga, utauta, waipuke
⛵️	moana, pere rua, poti, waka pere, wāhi hararei
🛶	poti, waka
🚤	poti, wakatere
🛳️	kaipuke, kaipuke pāhihi, pāhihi
⛴️	poti, pāhihi, waka kawekawe
🛥️	poti, waka pūkaha
🚢	kaipuke, poti, pāhihi
✈️	rererangi, waka rererangi
🛩️	rererangi, rererangi iti, waka rererangi
🛫	ngā wehenga, pae takiuru, rererangi, waka rererangi, wehenga, wehenga rererangi
🛬	ngā taunga mai, rererangi, tau ana, tau mai ana, taunga rererangi, waka rererangi
💺	nohoanga, tūru
🚁	toparere, waka
🚟	rerewē, rerewē whakairi, whakairi
🚠	arataura maunga, maunga, taura, waka taura
🚡	aratarāme, aratarāme rererangi, taura, waka, ā-rangi
🛰️	āmiorangi, ātea
🚀	tākirirangi, ātea
🛸	waka tuarangi kāore i mōhiotia, waka ātea nō ao kē
🛎️	hōtēra, kaikawe, pere, pere kaikawe
⌛️	karāhe-hāora, kirikiri, pūtaki
⏳️	karāhe-hāora, karāhe-hāora kirikiri rere, kirikiri, pūtaki
⌚️	karaka, matawā
⏰	karaka, karaka pūoho, pūoho
⏱️	karaka, matawā-tū
⏲️	karaka, karaka pūtaki, pūtaki
🕰️	karaka, karaka whatanga-ahi
🕛️	00, 12, 12:00, karaka, o ngā hāora, te tekau-mā-rua o ngā hāora, tekau-mā-rua
🕧	12, 12:30, 30, karaka, te tekau-mā-rua me te toru tekau meneti, tekau-mā-rua, toru tekau
🕐️	00, 1, 1:00, karaka, o ngā hāora, tahi, te tahi o ngā hāora
🕜	1, 1:30, 30, karaka, tahi, te tahi me te toru tekau meneti, toru tekau
🕑️	00, 2, 2:00, karaka, o ngā hāora, rua, te rua o ngā hāora
🕝	2, 2:30, 30, karaka, rua, te rua me te toru tekau meneti, toru tekau
🕒️	00, 3, 3:00, karaka, o ngā hāora, te toru o ngā hāora, toru
🕞	3, 30, 3:30, karaka, te toru me te toru tekau meneti, toru, toru tekau
🕓️	00, 4, 4:00, karaka, o ngā hāora, te whā o ngā hāora, whā
🕟	30, 4, 4:30, karaka, te whā me te toru tekau meneti, toru tekau, whā
🕔️	00, 5, 5:00, karaka, o ngā hāora, rima, te rima o ngā hāora
🕠	30, 5, 5:30, karaka, rima, te rima me te toru tekau meneti, toru tekau
🕕️	00, 6, 6:00, karaka, o ngā hāora, ono, te ono o ngā hāora
🕡	30, 6, 6:30, karaka, ono, te ono me te toru tekau meneti, toru tekau
🕖️	00, 7, 7:00, karaka, o ngā hāora, te whitu o ngā hāora, whitu
🕢	30, 7, 7:30, karaka, te whitu me te toru tekau meneti, toru tekau, whitu
🕗️	00, 8, 8:00, karaka, o ngā hāora, te waru o ngā hāora, waru
🕣	30, 8, 8:30, karaka, te waru me te toru tekau meneti, toru tekau, waru
🕘️	00, 9, 9:00, iwa, karaka, o ngā hāora, te iwa o ngā hāora
🕤	30, 9, 9:30, iwa, karaka, te iwa me te toru tekau meneti, toru tekau
🕙️	00, 10, 10:00, karaka, o ngā hāora, te tekau o ngā hāora, tekau
🕥	10, 10:30, 30, karaka, te tekau me te toru tekau meneti, tekau, toru tekau
🕚️	00, 11, 11:00, karaka, o ngā hāora, te tekau-mā-tahi o ngā hāora, tekau-ma-tahi
🕦	11, 11:30, 30, karaka, te tekau-mā-tahi me te toru tekau meneti, tekau-ma-tahi, toru tekau
🌑	marama, marama kōhiti, pōuri
🌒	hua, marama, marama hua tipihori, pewa
🌓	hauwhā, marama, marama ahotū
🌔	hua, kipuha, marama, marama hua
🌕️	marama, rākaunui
🌖	kipuha, marama, marama roroku, roroku
🌗	hauwhā, marama, marama korekore
🌘	marama, marama tohi, pewa, roroku
🌙	marama, marama pewa, pewa
🌚	marama, mata, mata marama kōhiti
🌛	hauwhā, marama, marama ahotū whai mata, mata
🌜️	hauwhā, marama, marama korekore whai mata, mata
🌡️	huarere, inemahana
☀️	ihi, kanapa, paki, rā
🌝	kanapa, kī, marama, mata, rākaunui whai mata
🌞	kanapa, mata, rā, rā whai mata
⭐️	whetū, whetū mā waenga
🌟	hana, korakora, tīaho, wheriko, whetū, whetū mumura
🌠	hinga ana, unahi, unahi o takero, whetū
🌌	ikarangi, ātea
☁️	huarere, kapua
⛅️	kapua, rā, rā muri kapua
⛈️	kapua, kapua me te uira me te ua, ua, whatitiri
🌤️	kapua, rā, rā muri kapua iti
🌥️	kapua, rā, rā muri kapua nui
🌦️	kapua, rā, rā muri kapua ua, ua
🌧️	kapua, kapua me te ua, ua
🌨️	hukarere, kapua, kapua me te hukarere, makariri
🌩️	kapua, kapua me te uira, uira
🌪️	kapua, paroro, āwhā
🌫️	kapua, kohu
🌬️	hau, kanohi, kanohi hau, kapua, pupuhi
🌀	huripari, kurahau awatea, paroro, āmaimai
🌈	kahukura, ua
🌂	hāmarara, hāmarara kopi, kākahu, ua
☂️	hāmarara, kākahu, ua
☔️	hāmarara, hāmarara me ngā kōpata ua, kākahu, kōpata, ua
⛱️	hāmarara, hāmarara i te papa, rā, ua
⚡️	hiko, mōrearea, ngaohiko, ngaohiko teitei, uira, whana
❄️	hukarere, makariri, whā hukarere
☃️	hukarere, makariri, tāne-hukarere
⛄️	hukarere, makariri, tāne-hukarere, tāne-hukarere kore hukarere
☄️	unahiroa, ātea
🔥	ahi, mura, utauta
💧	kōpata, kōpata wai, makariri, werawera, whakakata
🌊	moana, ngaru, ngaru wai, wai
🎃	haki, harowēne, rama, rama kanohi paukena, whakanuinga
🎄	Kirihimete, rākau, rākau Kirihimete, whakanuinga
🎆	pahūahi, whakanuinga
🎇	korakora, pahūahi, whakakorakora, whakanuinga
✨	he korakora, korakora, whetū
🎈	pūangi, whakanuinga
🎉	pahū, pahū whakangahau, tarā, whakangahau, whakanuinga
🎊	pōro, pōro wāhi pepa, whakanuinga, wāhi-pepa ririki
🎋	Hapanīhi, kara, rākau, rākau tanapata, whakanuinga
🎍	Hapanīhi, inanga, paina, whakanuinga, whakarei rākau paina
🎎	Hapanīhi, karetao, karetao Hapanīhi, taurima, whakanuinga
🎏	haki, haki ika, ika, whakanuinga
🎐	hau, pere, pere hau, whakanuinga
🎑	marama, taurima, taurima tiro marama, whakanuinga
🎀	rīpene, whakanuinga
🎁	koha, perehana, perehana takai, pouaka, takai, whakanuinga
🎗️	rīpene, rīpene whakamahara, whakamahara, whakanuinga
🎟️	tīkiti, tīkiti tomonga, whakatomo
🎫	tomonga, tīkiti
🎖️	metara, metara ope tauā, ope tauā, whakanuinga
🏆️	paraihe, tohu toa
🏅	mētara, mētara hākinakina
🥇	kōura, mētara, mētara wāhi 1, tuatahi
🥈	hiriwa, mētara, mētara wāhi 2, tuarua
🥉	mētara, mētara wāhi 3, parāhe, tuatoru
⚽️	poi whana, poiwhana, pōro, whutupōro
⚾️	pēhipōro, pōro
🏀	mōwhiti, poitūkohu, pōro
🏐	kēmu, poirewa, pōro
🏈	amerikana, pōro, whutupōro, whutupōro amerikana
🏉	pōro, rakapi, whutupōro, whutupōro rakapi
🎾	pōro, rākete, tēnehi
🎳	kēmu, poipīrori, pōro
🏏	kēmu, kēmu kirikiti, pōro, rākauhau
🏑	haupoi, haupoi papa tākaro, kēmu, papa tākaro, pōro, rākau
🏒	haupoi, haupoi huka, huka, kēmu, puki, rākau
🏓	kēmu, paopao, patu, pōro, rākauhau, tēpu tēnehi
🏸	kēmu, manu, patukoko, pūkura, rākete
🥊	karapu, karapu mekemeke, mekemeke
🥋	huro, karate, kākahu, kākahu toi whawhai, taekwondo, toi whawhai
🥅	neti, neti ūhunga, ūhunga
⛳️	haupōro, kara rō kōhao, kōhao
⛸️	huka, reti, retireti keo
🎣	ika, matira, matira hī ika
🎽	hāte, hāte omaoma, omaoma, rīpene, whakataetae
🎿	hukarere, papa retihuka, retihuka
🛷	kōneke, panuku
🥌	kēmu, pōhatu whakakōrino, toka
🎯	karu, kēmu, pere, pironga, pā, pā hāngai, pūru
🔫	pū, pū hurihuri, pū ā-ringa, rākau-riri, utauta
🎱	8, kēmu, piriota, piriota 8 pōro, pōro, waru
🔮	atamaha, matakite, moemoeā, pakiwaitara, pōro, pōro atamaha, utauta
🎮️	kēmu, kēmu ataata, pūwhakahaere
🕹️	kēmu, kēmu ataata, rākau mana
🎰	kāniwha, kēmu, mīhini kaimoni
🎲	kēmu, tapaono, tapaono kēmu
♠️	hūtu pēti, kāri, kēmu
♥️	hūtu hāte, kāri, kēmu
♦️	hūtu taimana, kāri, kēmu
♣️	hūtu karapu, kāri, kēmu
🃏	kāri, kārimohowao, kēmu, tioka
🀄️	kēmu, mahjong, tarakona whero mahjong, whero
🎴	Hapanīhi, kāri, kāri purei putiputi, kēmu, purei, putiputi
🎭️	ngā toi whakaaturanga, toi, whakaaturanga, whare tapere, ārai
🖼️	anga, papa tongarewa, pikitia, pikitia whai anga, toi, toi peita
🎨	papa tongarewa, papapeita, papapeita tohunga toi, toi, toi peita
👓️	karu, kākahu, mōhiti, mōhiti karu
🕶️	karu, mōhiti, mōhitirā, pōuri
👔	kākahu, neketai
👕	hāte, kākahu, tī-hāte
👖	kākahu, tarau, tarau tāngari
🧣	kakī, kāmeta
🧤	karapu, ringa
🧥	koti
🧦	tōkena
👗	kākahu
👘	kimono, kākahu
👙	kaukau, kākahu, pikīni
👚	kākahu, kākahu wahine, wahine
👛	kākahu, moni uka, pāhi
👜	kākahu, pāhi, pāhi ā-ringa, pēke
👝	kākahu, pāhi hopu, pēke, pūkoro
🛍️	hokohoko, hōtēra, pēke, pēke hokohoko
🎒	kura, pēke, pēke tari, pēketuarā kura
👞	hū, hū tāne, kākahu, tāne
👟	hū, hū ngohengohe, hū omaama, kākahu, whakataetae
👠	hū, hū rekereke-teitei, kākahu, rekereke, wahine
👡	hū, kopa, kopa wahine, kākahu, wahine
👢	hū, kākahu, pūtu, pūtu wahine, wahine
👑	karauna, kuini, kākahu, kīngi
👒	kākahu, pōtae, pōtae wahine, wahine
🎩	kākahu, pōtae, pōtae tihi, tihi
🎓️	kape, kape whiwhinga tohu, kākahu, paetahi, pōtae, whakanuinga
🧢	kape ngutu-parera, kape pēhipōro
⛑️	kanohi, pōtae, pōtae mārō, pōtae mārō kaimahi whakaora, rīpeka, āwhina
📿	inoi, karakia, kākahu, ngā poria inoi, poria, reikakī
💄	ngā whakanako, paningutu, whakapaipai kanohi
💍	mōwhiti matimati, taimana
💎	kōhatu māpuna, māpuna, rei, taimana
🔇	hū, ngū, tukuoro, tukuoro whakangū
🔈️	pāpaku, tukuoro kahaoro pāpaku
🔉	tukuoro kahaoro waenga, waenga
🔊	nui, tukuoro kahaoro teitei
📢	kōrero tūmatanui, nui, tukuoro
📣	pūwhakarahireo, umere ana
📯	haona, haona poutāpeta, poutāpeta, pōhi
🔔	pere
🔕	hū, kore, kāo, ngū, pere, pere whai rītaha, rāhuitia, whakakore
🎼	puoro, tuhinga, tuhinga puoro
🎵	puoro, tohu waiata
🎶	ngā tohu, ngā tohu waiata, puoro, tohu
🎙️	hopuoro, hopuoro taiwhanga, puoro, taiwhanga
🎚️	puoro, rēreti, rēreti puoro, taumata
🎛️	ngā puku, ngā puku mana, paemana, puoro
🎤	hopuoro, karaoke
🎧️	maupane, purutaringa
📻️	ataata, irirangi
🎷	puoro, pūtohe, whakatangi
🎸	kitā, puoro, whakatangi
🎹	papapurei, papapurei puoro, piana, puoro, whakatangi
🎺	puoro, pūawanui, whakatangi
🎻	puoro, tōiri, whakatangi
🥁	pahū, patupahū, puoro
📱	pūkoro, waea, waea pūkoro, waeakawe
📲	pere, pūkoro, pūwhiwhi, waea, waea pūkoro me te pere, waeakawe
☎️	waea
📞	pūwhiwhi, pūwhiwhi waea, waea
📟️	pūoho
📠	mīhini waeatuhi, waeatuhi
🔋	pūhiko
🔌	hiko, puru, puru hiko
💻️	paparorohiko, rorohiko, rw, whaiaro
🖥️	papamahi, rorohiko, rorohiko papamahi
🖨️	pūreretā, rorohiko
⌨️	papapātuhi, rorohiko
🖱️	kiore rorohiko, rorohiko
🖲️	pōrotaki, rorohiko
💽	kōpae, kōpae rorohiko, kōpae-iti, rorohiko, whatu
💾	kōpae, kōpae pīngore, pīngore, rorohiko
💿️	kōpae, kōpae whatu, kōpaepae, rorohiko, whatu
📀	blu-ray, kam, kōpae, rorohiko, whatu
🎥	kāmera, pū hopuata, whare whitiāhua, whitiāhua
🎞️	anga, anga whitiāhua, whare whitiāhua, whitiāhua
📽️	ataata, tukuata, tukuata whitiāhua, whare whitiāhua, whitiāhua
🎬️	papa papaki, papaki, whitiāhua
📺️	ataata, pouaka whakaata
📷️	ataata, pūwhakaahua
📸	ataata, hikohiko, pūwhakaahua, pūwhakaahua whai hikohiko
