‾	apɔju
🥗	Saladi Elewe, eléwé, sàláádì, ónjɛ
🥫	agolo, ónjɛ inú agolo
🍘	Biskit Irɛsi, bisikí, ìrɛ̀sì
🍙	Irɛsi Roboto, bɔ̀ɔ́lú, japanese, ìrɛsì
🍚	Irɛsi, Irɛsi Sise, Sise
🍛	irɛsi, irɛsi kɔri, kɔri
🍜	Abɔ ibɔhun, abɔ́, núdù, oru, rámɛ̀n
🍝	Spagɛti, pásítà
🍠	Anamɔ dindin, dídùn, yíyan, ànàmɔ́
🍢	Oden, igi, keháb, síkíwà, ónjɛ omi
🍤	Ede Dindin, dídín, shírímpù, tɛ́mpúrà, ɛdɛ
🍥	Eja dindin Pɛlu Swirl, swirl, àkàrà òyìnbó, ónjɛ oní fíláwà
🥟	empanada, gyōza, jiaozi, pierogi, potsticker, ìgbɛ́
🥠	asɔtɛ́lɛ̀, kúkì fortune
🥡	péèlìa ɔ́yɛ́stà, àpótí àgbéjáde
🦀	Alákàn, Cancer, àmi oshù ìbí
🦐	Ede, edé, kékeré, ónjɛ, ɛja inú ìkarahun
🦑	Sikidi, mólúsì, síkídì, ónjɛ
🍦	Wara Didi Rirɔ, fɛ́lɛ́, kírímù, yìnyín, yìnyín dídùn, àdídùn, ónjɛ dídùn
🍧	Yinyin Gige, fá, yìnyín, àdídùn, ónjɛ dídùn
🍨	Wara Didi, kírímù, yìnyín, àdídùn, ónjɛ dídùn
🍩	Dónɔ́ɔ̀tì, dónɔtì, àdídùn, ónjɛ dídùn
🍪	Kuki, àdídùn, ónjɛ dídùn
🎂	ayɛyɛ, Àkàrà òyìnbó ɔjɔ́ìbí, àdídùn, àkàrà òyìnbó, ónjɛ dídùn, ónjɛ oní fíláwà, ɔjɔ́ìbí
🍰	Akara kekere, gígé, àdídùn, àkàrà òyìnbó, ónjɛ dídùn, ónjɛ oní fíláwà
🍫	Shokoleti Didi, ilé otí, shokolétì, àdídùn, ónjɛ dídùn
🍬	Kandi, àdídùn, ónjɛ dídùn
🍭	Suuti Onigi, káńdì, àdídùn, ónjɛ dídùn
🍮	Kɔ́sítàdì, púdínì, àdídùn, ónjɛ dídùn
☕️	Tii Gbigbona, gbígóná, kɔfí, mímu, ohun mímu oní kòkó, tíì, yíyɔ oru
🍵	Ife Tii laini Ɔwɔ, ife, mímu, o ohun mímu oní kòkó, tíì
🍶	Sake, ife, ilé ɔtí, ohun mímu, ohun mímu oní kòkó, ìgò
🍾	Igo Olori Yiyɔ, ilé ɔtí, ohun mímu, ìdérí ɔtí, ìgò, ìshí ɔtí
🍷	Gilasi Waini, gílásì, ilé ɔtí, ohun mímu, ohun mímu oní kòkó, wáìnì
🍸️	Gilasi Ounjɛ Amulumala, ilé ɔtí, ónjɛ àmúlùmálà
🍹	Ohun Mimu Akoko Oorun, ilé ɔtí, ohun mímu, ɔlɔ́pɛ
🍺	Imuti, ilé ɔtí, ohun mímu, ìmutí, ɔtí
🍻	Imuti Dídún, dídún, ilé ɔtí, ìmutí, ímu, ɔtí
🥂	Gilasi Didun, ayɛyɛ, dún, gílásì, ohun mímu
🥃	Gilasi Tɔnbila, gílásì, shɔ́ɔ̀tí, tɔ́mbílà, ɔtí, ɔtí líle
🥤	ife pɛ̀lú sírɔ̀, sódà, ɛlɛ́rìndòdò
🥢	áshì, ìlàrí
🍽️	fɔ́ɔ̀kì, fɔ́ɔ̀kì àti ɔ̀bɛ pɛ̀lú àwo, àwo, ónjɛ sísè, ɔ̀bɛ
🍴	Fɔki Ati Ɔbɛ, fɔ́ɔ̀kì, ónjɛ sísè, ɔ̀bɛ
🥄	Shíbí, shíbí, ǹkan ilé ìdáná
🔪	hocho, irinshɛ́, irinshɛ́ ìjagun, àsè, ò̩bɛ, ɔbɛ iyara-idana
🏺	Amphora, Aquarius, dídáná, ife omi, irinshɛ́, irinshɛ́ ìjagun, ohun mímu, àmi oshù ìbí
🌍	Gulobu To N Shafihan Uropu-Afirika, ayé, gílóbù, àgbáyé, áfíríkà, írópù
🌎️	Gulobu To N Shafihan Amɛrika, ayé, gúlóbù, àgbáyé, àwɔn amɛ́ríkà
🌏	Gulobu To N Shafihan Ashia-Ɔsiteria, ayé, gúlóbù, àgbáyé, áshíà, ɔsiteria
🌐	Gulobu Pɛlu Mɛridiani, ayé, gúlóbù, mɛ̀rídíánì, àgbáyé
🌋	Ifɛ-ilɛ, ìfɛ̀ ilɛ̀, òkè
🏕️	pípàgɔ́
🏖️	agbòrùn, ɔ̀sà, ɔ̀sà pɛ̀lú agbòrùn
🏜️	ashálɛ̀
🏝️	ashálɛ̀, erékùshù, erékùshù ashálɛ̀
🏞️	páàkì, páàkì orílɛ̀
🏟️	pápá ìsheré
🏗️	Ishɛ́ ɔnà, ishɛ́ ɔnà ilé
🏘️	àwɔn ilé
🏡	Ile Pelu Ɔgba, ilé, ɔgbà
🏢	Ile Ibi-ishɛ, ilé
🏣	Ile-ishɛ Ifiweranshɛ Japani, Japani, ìfiránshɛ́
🏤	Àpótí ÌfìwéRánshɛ́, ìrópù
🏦	Ile-ifowopamɔsi, ilé
🏩	Ilé ìtura Ifɛ, ilé ìtura
🏬	itaja, ɛka, ɛka itaja
🏭️	Ilé-ishɛ́, ilé
💒	ilé ìjɔsìn, Ìgbéyàwó, ìfɛ̀
🗼	Ile Ishɔ Tokiyo, Tokiyo, ile ishɔ
⛪️	Shɔɔshi, àgbélèbú, ɛlɛ́sìn ìgbàgbó̩, ɛ̀sìn
🕌	Mùsùlùmí, Mɔ́sháláshí, Ìmàle, ɛ̀sìn
🕍	Eɛlɛ́sìn júù, Sínágɔ́gù, júù, tɛ́pílì, ɛ̀sìn
⛩️	ilé òrìshà, ilé òrìshà shíntò, shíntò, ɛ̀sìn
🕋	Kaaba, Mùsùlùmí, Ìmàle, ɛ̀sìn
⛺️	pípàgɔ́, Àgɔ́
🌃	Ashalɛ Pɛlu Awɔn Irawɔ, alɛ́, ìràwɔ̀
🏙️	fífɛ̀ìlú, ìlú
🌄	Lila Oorun Lori Awɔn Oke, àárɔ̀, ìla òrùn, òkè, òrù
🌅	Ìlà oòrùn, àárɔ̀, òrùn
🌆	Iwo Ilu Ni Ashalɛ, oníbùú, àshàlɛ́, ìlú, ìwɔ òrùn, òrùn
🌇	Ìwɔ̀ oòrùn, àshálé, òrún
🌉	Afara Ni Ashalɛ, afárá, alɛ́
♨️	gbígbóná, omi àtilɛ̀wá, oru
🎠	aládùn, Ɛshin Aladun, ɛshin
🎡	Kɛ̀kɛ́ Ferris, ferris, páàkì ìgbafɛ́, róboto
🎢	Kɛkɛ Olobiri, olóbírí, páàkì ìgbafɛ́, yíyí
💈	Opo Onigbajamɔ, agerun, gérun, òpó
🚂	Yiyi, ojú irin, òru, ɔks ojú irin, ɛ̀rɔ
🚃	bɔ́ɔ̀sì gígùn, ojú irin, ìná, Ɔkɔ Oju-irin, ɔkɔ̀, ɔkɔ̀ ojú irin, ɔ̀nà ɔkɔ̀ ojú irin
🚄	aré, ojú irin, Ɔkɔ oju-irin Alare, ɔkɔ̀ ojú irin, ɔkɔ̀ ojú irin abɛ́ ilɛ̀
🚅	aré, ojú irin, Ɔkɔ oju-irin Alare Pɛlu Imu Ɔta, ɔkɔ̀ ojú irin, ɔkɔ̀ ojú irin abɛ́ ilɛ̀, ɔta
🚆	Shèdánilɛ́kɔ̀ɔ́, ɔkɔ Oju-irin
🚇️	Àjà ilɛ̀, ɔ̀nà ɔkɔ̀ ojú irin
🚈	Ɔkɔ oju-irin kekere, ɔkɔ Oju-irin
🚉	Ibudo, ojú-irin, ɔkɔ ojú-irin
🚊	Tiramu, Ɔkɔ Akero Oniwiwɔ
🚝	Oju irin kan, nshe ɔkɔ́
🚞	Reluwe Oloke, òké, ɔkɔ ojú-irin, ɔkɔ̀
🚋	Ɔkɔ Tiramu, ɔkɔ̀, ɔkɔ̀ akérò oníwíwɔ́, ɔkɔ̀ ojú irin gígùn
🚌	nshe ɔkɔ́, Ɔkɔ Akero
🚍️	tí ń bɔ̀, Ɔkɔ Akero Ti Nbɔ, ɔkɔ̀ akérò
🚎	Ɔkɔ Akero Oniwiwɔ, ɔkɔ̀ akérò, ɔkɔ̀ akérò oníwíwɔ́, ɔkɔ̀ ojú irin gígùn
🚐	Ɔkɔ Akero, Ɔkɔ Akero Kekere
🚑️	nshe ɔkɔ́, Ɔkɔ Alaisan
🚒	iná, Ɛnjini Onina, ɔkɔ̀ akkrù ńlá, ɛ̀rɔ
🚓	olùshɔ́, Ɔkɔ Ɔlɔpa, ɔkɔ̀, ɔlɔ́pàá
🚔️	tí ń bɔ̀, Ɔkɔ Ɔlɔpa Ti Nbɔ, ɔkɔ́, ɔlɔ́pàá
🚕	Taasi, nshe ɔkɔ́
🚖	Taasi, Taasi Ti Nbɔ, Ti Nbɔ
🚗	Ɔko, ɔkɔ́
🚘️	tí ń bɔ̀, Ɔkɔ Ti Nbɔ, ɔkɔ̀
🚙	ìgbafɛ́, òks agbafɛ́ tó dára, Ɔkɔ Agbafɛ Daradara
🚚	ifijishɛ, Ɔkɔ Akɛru
🚛	díɛ̀, Ɔkɔ Nla Akɛru, ɔkɔ̀ akérò ńlá, ɔkɔ̀ akɛ́rù
🚜	Katakata, nshe ɔkɔ́
🏎️	ìdíje eré, ɔkɔ̀, ɔkɔ̀ ìdíje eré
🛵	alupupu, alupupu onimɔto, onimɔto
🚲️	Kɛ̀kɛ́, kɛ̀kɛ́
🛴	Alupùpù ɛlɛ́sɛ̀ méjì, alupupu kekere, gbá
🚏	Ibudokɔ, dúró, ibùdókɔ̀, ɔkɔ̀ akérò
🛣️	ojú ɔ̀nà ɔkɔ̀, pópó, ɔ́nà
🛤️	ojú-irin, ɔkɔ ojú-irin, ɔ̀nà ojú-irin
⛽️	afa epo, epo, gáàsì, ibùdó epo, pɔ̀mpù epo
🚨	Ina Ɔkɔ Ɔlɔpa, iná, yípo, ɔkɔ̀, ɔlɔ́pàá, ɛran ɛlɛ́dɛ̀
🚥	Ina Adariko Onidubu, adarí, adaríkɔ̀, iná
🚦	Ina Adariko Olopo, adarí, adaríkɔ̀, iná
🛑	Aami Idaduro, Onígun mɛ́jɔ, dúró, àmì
🚧	Ishɛ́ ɔnà, ìdènà
⚓️	irinshɛ́, Ìdákòró, ɔkɔ̀ ojú omi ńlá
⛵️	ibi ìgbafɛ́, okun, Ɔkɔ kekere, ɔkɔ̀ ojú omi, ɔkɔ̀ ojú omi ibi ìgbafɛ́
🛶	obele, Òbèlé, ɔkɔ̀ ojú omi
🚤	Ɔkɔ omi alare, ɔkɔ̀ ojú omi
🛳️	èrò, ɔkɔ̀ ojú omi ńlá, ɔkɔ̀ ojú omi ńlá èrò
⛴️	ferí, èrò, ɔkɔ̀ ojú omi
🛥️	ɔkɔ̀ ojú omi, ɔkɔ̀ ojú omi tó ń lo ɛ̀rɔ
🚢	èrò, Ɔkɔ̀ ojú omi ńlá, ɔkɔ̀ ojú omi
✈️	bàlú òfurufú, ɔkɔ̀ òfurufú
🛩️	bàlú òfurufú, bàlú òfurufú kékeré, ɔkɔ̀ òfurufú
🛫	Ibi Idagbere Baalu, bàlú òfurufú, shàyɛ̀wò wɔlé, ìjáde, ɔkɔ̀ òfurufú
🛬	Ibi Ikaabɔ Baalu, bàlú òfurufú, bíbalɛ̀, wíwɔlé, àwɔn ìwɔlé, ìwɔlé, ɔkɔ̀ òfurufú
🚁	nshe ɔkɔ́, Ɛlikɔputa
🚟	olókè, Ɔkɔ oju irin, Ɔkɔ oju irin Oloke
🚠	gòndólà, wáyà, òkè, Ɔkɔ oniwaya Ori-oke
🚡	Tramway Eriali, gòndólà, wáyà, éríklì, ɔkɔ̀, ɔ̀nà ɔkɔ̀ ojú irin
🚀	Rɔ́kɛ̀tì, ààyè
🛸	UFO, àwɔ kékeré tí ń fò
🛎️	agogo, agogo alágbágbɛ́rùn ilé ìtura, alágbágbɛ́rùn ilé ìtura, ilé ìtura
⌛️	Gilasiakoko, adíwɔ̀n àkókò, iyɛ̀pɛ̀
⏳️	Gilasiakoko Pɛlu Iyɛpɛ Ti N fɛ, adíwɔ̀n àkókò, gílásì àkókò, ìyɛ̀pɛ̀
⏱️	ago, ago aláfɔwɔ́yí
⏲️	adíwɔ̀n àkókò, ago, ago adíwɔ̀n àkókò
🕰️	ago, ago àgbélɛ̀
🕧	12, 12:30, 30, Ago Mejila Aabɔ, ago, méjìlá, ɔgbɔ̀n
🕜	1, 1:30, 30, Ago kan an aabɔ, ago, ìkan, ɔgbɔ̀n
🕝	2, 2:30, Ago Meji Aaabɔ, ago, méjì, ɔgbɔ̀n
🕒️	00, 3, 3:00, Ago Mɛta, ago, lù gérégé, mɛ́tàa
🕞	3, 3:30, Ago Mɛta Aabɔ, ago, mɛ́tàa, ɔgbɔ̀n
🕓️	00, 4, 4:00, Ago Mɛrin, ago, lù gérégé, mɛ́rìn
🕟	30, 4, 4:30, Ago Merin Aabɔ, ago, mɛ́rìn, ɔgbɔ̀n
🕠	30, 4, 4:30, Ago Marun un Aabɔ, ago, márùn, ɔgbɔ̀n
🕕️	00, 6, 6:00, Ago Mɛfa, ago, lù gérégé, mɛ́fàa
🕡	30, 6, 6:30, Ago Mɛfa Aabɔ, ago, mɛ́fàa, ɔgbɔ̀n
🕢	30, 7, 7:30, Ago Meje Aabɔ, ago, méje, ɔgbɔ̀n
🕗️	00, 8, 8:00, Ago Mɛjɔ, ago, lù gérégé, méjɔ
🕣	30, 8, 8:30, Ago Mejɔ Aabɔ, ago, méjɔ, ɔgbɔ̀n
🕘️	00, 9, 9:00, Ago Mɛsan an, ago, lù gérégé, mɛ́san an
🕤	30, 9, 9:30, Ago Mɛsan an Aabɔ, ago, mɛ́san an, ɔgbɔ̀n
🕙️	00, 10, 10:00, Ago Mɛwa, ago, lù gérégé, mɛ́wàá
🕥	10, 10:30, 30, Ago Mɛwa Aabɔ, ago, mɛ́wàá, ɔgbɔ̀n
🕚️	00, 11, 11:00, Ago Mɔkanla, ago, lù gérégé, mɔ́kànlá
🕦	11, 11:30, 30, Ago Mɔkanla Aabɔ, ago, mɔ́kánlá, ɔgbɔ̀n
🌑	dúdú, Òshùpá Tuntun, òshùpá
🌒	Yíyɔ́ Ààbɔ̀ Oshùpá, kírísɛ́ntì, yíyɔ́, òshùpá
🌓	Oshùpá Ìlàrin Àkɔ́kɔ́, ìdámɛ́rin, òshùpá
🌔	Yíyɔ́ Kíkún Oshùpá, kíkùn, yíyɔ́, òshùpá
🌕️	Òshùpá, Ɛ̀kúnrɛ́rɛ́, Ɛ̀kúnrɛ́rɛ́ Òshùpá
🌖	Kíkún, Oshùpá, Títàn, Títàn Kíkún Oshùpá
🌗	Oshùpá Ìlàrin Ìgbɛ̀yìn, ìdámɛ́rin, òshùpá
🌘	Títàn Ààbɔ̀ Oshùpá, kírísɛ́ntì, òshùpa kékeré, òshùpá
🌙	Oshùpá, Ààbɔ̀, Ààbɔ̀ Oshùpá
🌚	Oju Òshùpá Tuntun, ojú, oshupa
🌛	Oshùpá Ìlàrin Àkɔ́kɔ́ Pɛ̀lú Ojú, ojú, ìdámɛ́rin, òshùpá
🌜️	Oshùpá Ìlàrin Ìgbɛ̀yìn Pɛ̀lú Ojú, ojú, ìdámɛ́rin, òshùpá
🌡️	ojú ɔjɔ́, òshùwɔ̀n ìgbóná
☀️	itanshan oòrùn, ìmɔ́lɛ̀, òrùn
🌝	ojú, ìmɔ̀lɛ̀, òshùpá, Ɛ̀kúnrɛ́rɛ́ Òshùpá Pɛ̀lú Ojú, ɛ̀kún
🌞	Oorun Pɛlu Oju, ojú, ìmɔ́lɛ̀, òrùn
⭐️	Irawɔ Alaabɔ Funfun, ìràwɔ̀
🌟	Irawɔ Titan, dán, dídán, tàn, ìràwɔ̀
🌠	Irawɔ Yiyɔ, jíjábɔ́, títa, ìràwɔ̀
🌌	ààyè, Ɔna Oniwara
☁️	ojú ɔjɔ́, òfurufú
⛅️	Oorun Lɛhin Ofurufu, òfurufú, òòrùn
⛈️	àrá, òfurufú, òfurufú pɛ̀lú shísháná àti òjò, òjò
🌤️	òfurufú, òòrùn, òòrùn lɛ́yìn òfurufú kékeré
🌥️	òfurufú, òòrùn, òòrùn lɛ́yìn òfurufú tó tóbi
🌦️	òfurufú, òjò, òòrùn, òòrùn lɛ́yìn òfurufú òjò
🌧️	òfurufú, òfurufú pɛ̀lú òjò, òjò
🌨️	yìnyín, òfurufú, òfurufú pɛ̀lú yìnyín, òtútù
🌩️	shísháná, òfurufú, òfurufú pɛlu shísháná
🌬️	atɛ́gùn, ojú, ojú atɛ́gùn, tayɔ, òfurufú
🌀	àyí, ìjì, òyì, Ɛfuufu
🌈	òjò, òshùmarè
🌂	Agboorun Toti, agbòrùn, ashɔ, òjò
☂️	agbòrùn, ashɔ, òjò
☔️	Agboorun Pɛlu Omi Ojo Kikan, agbòrùn, ashɔ, kán, òjó
⛱️	agbòrùn, agbòrùn ní ilɛ̀, òjò, òrùn
⚡️	Agbara Ina Giga, agbára iná, ewu, iná, mɔ̀nɔ̀mɔ́nɔ́, sáàpù
❄️	yìnyín, ìdìjɔ òjò yìnyín, òtútù
☃️	yìnyín, òtútù, ɔkùnrin yìnyín
⛄️	yìnyín, òtútù, Ɔkunrin yinyin Laini Yinyin, ɔkùnrin yìnyín
☄️	kamɛ́tì, ààyè
🔥	Iná, iná, irinshɛ́
💧	Drɔ́púlɛ́ɛ̀tì, kán òógùn, àwàdà, òtútù
🎃	Jack-o-Atupa, alowínì, ayɛyɛ, jáàkì, àtùpà
🎄	Igi Keresimesi, ayɛyɛ, igi, kérésìmesì
🎆	Ishɛ́iná, ayɛyɛ
🎇	Olutan, ayɛyɛ, dán, ishɛ́iná
✨	Awɔn Titan, dán, ìràwɔ̀
🎈	Bàlúùnù, ayɛyɛ
🎉	Ariwo Ayɛye, aláríyá, ayɛyɛ, tádà, àríyá
🎊	Bɔɔlu Kɔnfɛti, ayɛyɛ, bɔ́ɔ̀lù, kɔnfetí
🎋	Igi Tanabata, ayɛyɛ, igi, japanese, ánà
🎍	ayɛyɛ, eso ɔ̀pɛ òyìnbó, igi bambú, japanese, Ɛshɔ Ɔpɛ oyinbo
🎎	Awɔn Ere Japanisi, Japanese, ayɛyɛ, omolankidi, àjɔyɔ̀
🎏	Olugekere Capu, ayɛyɛ, káàpù, ìbɔsɛ̀ tí ń fò
🎐	Idun Iji, agogo, atɛ́gùn, ayɛyɛ, ìdún agogo
🎑	Wiwo Ayɛyɛ Oshupa, ayɛyɛ, òshùpá
🎀	Ríbìnnì, ayɛyɛ
🎁	ayɛyɛ, wépɔ̀, àpótí, Ɛbun Didi, ɛ̀bùn
🎗️	ayɛyɛ, ríbínì, ìránilétí
🎟️	àwɔn ìwɔlé ìgbaniwɔlé, ìgbaniwɔlé, ìwɔlé
🎫	Iwe Iwɔle, ìgbaniwɔlé
🎖️	ayɛyɛ, fàdákà ológun
🏆️	Ife, ɛ̀bùn
🥇	Fadaka Ipo Akɔkɔ, fádákà, góòlù, àkɔ́kɔ́
🥉	Fadaka Ipo Ɛkɛta, bírónsì, fàdákà, ipò kɛta
⚽️	Bɔɔlu Afɛsɛgba, bɔ́ɔ̀lù, bɔ́ɔ̀lù àfɛsɛ̀gbá
⚾️	Bɔ́ɔ̀lùòkè, bɔ́ɔ̀lù
🏀	Bɔ́ɔ̀lùalágbɔ̀n, bɔ́ɔ̀lù, òrùka onírin ńlá roboto
🏐	Folliboolu, bɔ́ɔ̀lù, eré
🏈	Bɔɔlu Amɛrika, amɛ́ríkà, bɔ́ɔ̀lù, bɔ́ɔ̀lù àfɛshɛ̀gbá
🏉	Bɔɔlu Rɔgibi, bɔ́ɔ̀lù, bɔ́ɔ̀lù rɔ́gíbì, bɔ́ɔ̀lù àfɛshɛ̀gbá
🎾	Tɛnisi, bɔ́ɔ̀lù, rákɛ̀tì
🎳	Bolin, bɔ́ɔ̀lù, eré
🏏	bɔ̀ɔ́lù, eré, eré bɔ́ɔ̀lù afi pátákó gbá, pátákó ìgbá bɔ́ɔ̀lù
🏑	Hɔki Papa, bɔ́ɔ̀lù, eré, hɔ́kì, igi, pápá
🏒	Hɔki Yinyin, eré, hɔ́kì, igi, pɔ́kì, yìnyín
🏓	Bɔɔlu Ori Tabili, ajé ìwakɔ̀, báàtì, bɔ́ɔ́lù
🏸	Badimitin, bɛ́ɛ̀dì, eré, ihò bɔ́ɔ̀lù, rákɛ̀tì
🥊	gilofu, gilofu ikanshɛ, ikanshɛ
🥋	Ashɔ Ere Itapa, eré onípàá àti ɔwɔ́, eré ɔlɔ́wɔ́, eré ɛlɛ́sɛ̀, àwon eré onípàá àti ɛlɛ́sɛ̀, àǹkóò
🥅	góòlù, àwɔ̀n, àwɔ̀n góòlù
⛳️	Asia Ninu Iho, gɔ́ɔ̀fù, ihò
🎣	Opo Ipɛja, òpó, ɛja
🎽	Shɛɛti Isare, shɛ́ɛ̀tì, sáàshì, sísáré, àwɔn tí ń sáré
🎿	Awɔn Siki, síkì, yínyìn
🛷	sílɛ̀, sílɛ́dì, sílɛ́jì
🥌	eré, òkúta, òkúta ìwɔ́
🎯	Igba Taara, akɔ màlú, eré, gún, pálí ayò, àfojúsùn, ɔ̀gángɔ́ ayò
🔫	ibɔn ilewɔ, irinshɛ́, ìbɔn, ìbɔn shakabùlà, ìbɔn ìléwó̩
🎱	8, Bɔɔlu Odo 8, bílíádì, bɔ́ɔ̀lù, eré, ɛ́ɛ́jɔ
🔮	bɔɔlu aworawɔ, bɔ́ó̩lù, pàápàá, àló̩ ajɛmó̩win, àìbáyému, òkúta aworàwò̩, ɔrɔ̀
🎰	eré, ìfisí, Ɛrɔ Ifisi
♥️	eré, káàdì, ìpín káàdì ɔkàn
♦️	eré, káàdì, ìpín káàdì díámɔ́ndì
🃏	Joka, eré, káàdì, káàdí ɔlɔ́pɔ̀ ìlò
🎴	Káàdì ìsheré Olódòdó, eré, japanese, káàdì, òdòdó, ń sheré
🎭️	Ere Awokɔshe, ishɛ́ ɔná, tíátà, àwòkɔ́she, ìbòjú, ìtàgé
🖼️	férémù, ilé ɔnà, ishɛ́ ɔná, kíkùn, àwòrán, àwɔrán inú férémù
🎨	Pɛpɛ Oshere, ilé ɔnà, ishɛ́ ɔná, kíkùn, pálɛ́tì
👓️	Digi, ashɔ, gíláásì ojú, ìbòjú, ɛyinjú
👔	Okùnɔrùn, Wíwɔshɔ
👕	Shɛɛti, ashɔ, shɛ́ɛ̀tì, tshɛ́ɛ̀tì
👖	Jinsi, ashɔ, pátá, shòkòtò
🧣	síkáfù, ɔrùn
🧤	ìbɔ̀wɔ́, ɔwɔ́
🧥	jákɛ́tì, kóòtù
🧦	ìbɔ̀sɛ̀, ìbɔ̀sɛ̀ obìnrin gígùn
👗	Ashɔ, Wíwɔshɔ
👘	Kimono, Wíwɔshɔ
👙	Pata obinrin, ashɔ, wɛdò
👚	Awɔn Ashɔ Obinrin, ashɔ, obìnrin
👛	Pɔɔsi, ashɔ, kóbɔ̀
👜	ashɔ, pɔ́ɔ̀sì, Ìpamɔ́wɔ́, àpamɔ́wɔ́
👝	Baagi Ipamɔwɔ, ashɔ, páùshì, àpamɔ́wɔ́
🛍️	ilé ìtura, àpamɔ́wɔ́, àwɔn àpamɔ́wɔ́ ɔjà, ɔjà
🎒	Baagi Ile-ɛkɔ Agbekɛyin, ilé ìwé, sáshɛ̀lì, àpamɔ́wɔ́
👞	Bata Ɔkunrin, ashɔ, bàtà, ɔkùnrin
👟	Bata Isare, ashɔ, bàtà, ɛní sáré
👠	Bata Gogoro, ashɔ, bàtà, bàtà gogoro, obìnrin
👡	Bata Obinrin pɛlɛbɛ, ashɔ, bàtà, bátá pɛlɛbɛ, obìnrin
👢	Buutu Obinrin, ashɔ, bàtà, búùtù, obìnrin
👑	Ade, ashɔ, olorì, ɔba
👒	Haati Obinrin, ashɔ, fìlà, obìnrin
🎩	Haati Oke, ashɔ, fìlà, òkè
🎓️	Fila Asheyɔri, ashɔ, ayɛyɛ, fìlà, àsheyɔrí
🧢	fìla billed, fìla bɔ́ɔ̀lùòkè
⛑️	koto, koto òshìshɛ́ ìrànwɔ́, ojú, ìrànwɔ́ àgbélébù
📿	Ilɛkɛ Adura, ashɔ, ilɛ̀kɛ̀, àdúrà, ɛ̀gbà ɔrùn, ɛ̀sìn
💄	Ikun-ete, asharalashɔ̀, asharalóge
💍	Dún, díámɔ́ndì
💎	Okuta Iyebiye, díámɔ́ndì, òkúta iyebíye, ɛ̀gbà
🔇	Gbohungbohun ti ko Sɔrɔ, dákè, dáké, gboùngboùn
🔈️	Gbohungbohun ti Ohun rɛ wa Labɛ, fɛ́lɛ́
🔉	Gbohungbohun ti Ohun rɛ wa Laarin, àárín
🔊	Gbohungbohun ti Ohun rɛ lɔSoke, pariwo
📣	ìbáraniyò̩, ɛ̀rɔ gbohùngbohùn ńlá
📯	gbohùngbohùn, gbohùngbohùn ifiranshɛ, ìfiránshé̩
🔕	agogo, agogo pɛlu idinku, bɛ́ɛ̀ kó̩, kò, shèdíwó̩, àìlesɔ̀rɔ̀, èèwɔ̀
🎼	akɔsilɛ orin, akɔsílɛ̀, orin
🎵	orin, ò̩rɔ̀, ɔ̀rɔ̀ orin
🎶	nóòtì orin, orin, àwɔn ò̩rò̩, ɔ̀rɔ̀
🎤	maikurofóònù, ɛ̀rɔ gbohùngbohùn kékeré
🎧️	ìrintí, ɛ̀rɔ àdágbórinsétí
🎷	ipè, irinshɛ́, orin, sáàsì
🎸	irinshɛ́, jìtá, orin
🎺	irinshɛ́, kakaaki, orin
🎻	faolini, irinshɛ́, orin
📱	alágbèéká, fóònù, tɛlifóònù
📲	alágbèéká, fóònù, fóònù alágbèéká pɛ̀lú ofà, gbà, tɛlifóònù, ìpè, ɔfà
☎️	tɛlifóònù, ɛ̀rɔ ìbánisɔ̀rɔ̀
📞	fóònù, olùgbà, tɛlifóònù
📟️	ɛ̀rɔ atanilólobó
📠	fákìsì, ɛ̀rɔ fákìsì
🔌	pulɔgi onina, púlɔ́ɔ̀gì, ìná mɔ̀nà-mɔ́ná, ɛ̀lé̩tíríìkì
💻️	kɔ̀npútà, kɔ̀npútà aládàni, kɔ̀ǹpútà àgbélétan, àdáni
🖥️	a-gbé-lórí-tábílì, kɔ̀npútà, kɔ̀npútà a-gbé-lórí-tábílì
🖨️	kɔ̀npútà, pínríntà
⌨️	kííbɔɔ̀dù, kɔ̀npútà
🖱️	kɔ̀npútà, máòsì kɔ̀npútà
🖲️	kɔ̀npútà, òntè̩ afinimɔ̀nà
💽	dísìkì kɔ̀ǹpútà, kɔ̀npútà, ojú àwo, àwo, àwo pélébé
💾	dísìkì fílɔ̀pì, fíló̩pì, kɔ̀npútà, àwo
💿️	kɔ̀npútà, ojú àwo, àwo, àwo aká-ɔ̀rɔ̀ aláfojúrí, àwo ìgbàlódé
📀	búlúù-réè, dvd, dísìkì, kɔ̀npútà, ojú àwo
🎥	fíìmù, kamɛra fíìmù, kámé̩rà, sinimá
🎞️	fíìmù, sinemá, àwɔn férémù, àwɔn férémù fíìmù
📽️	fídíò, fíìmù, pìròjɛ́kítɔ̀, sínímà, è̩rɔ agbéwòrán jáde
📷️	fídíò, kámɛ́rà
📸	fídíò, fílásì, kámɛ́rà, kámɛ́rà pɛlu filashi
📼	awɔn kaadi ododo ishere, fídíò, téèpù
🔍	díígí, gilasi itɔka-osi amohun tobi, irinshɛ́, ìfojúsóde, ìsɔdinlá
🔎	díígí, gilasi itɔka-ɔtun amohun tobi, irinshɛ́, ìfojúsóde, ìsɔdinlá
💡	bó̩ɔ̀bù, gólòbù iná, iná, kɔ́míìkì, òye, ɛ̀lɛ́tíríìkì
